id,name,state,method,method_number,method_period,prorata_computation_type,prorata_date,acquisition_date,active,company_id/id,journal_id/id,account_asset_id/id,account_depreciation_expense_id/id,account_depreciation_id/id
asset_eqt01_lmmr,Automovil FF,Model,Straight Line,48,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_eqt01_lmmr,marin_data.account_154_01_001,marin_data.account_504_09_001,marin_data.account_154_01_001
asset_eqt02_lmmr,Automovil NF,Model,Straight Line,0,Years,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_eqt02_lmmr,marin_data.account_154_01_002,marin_data.account_504_09_002,marin_data.account_154_01_002
asset_eqc01_lmmr,Equipo de computo FF,Model,Straight Line,40,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_eqc01_lmmr,marin_data.account_156_01_001,marin_data.account_504_11_001,marin_data.account_156_01_001
asset_eqtl1_lmmr,Equipo de telecom FF,Model,Straight Line,40,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_eqtl1_lmmr,marin_data.account_165_01_001,marin_data.account_504_12_001,marin_data.account_165_01_001
asset_maq01_lmmr,Maquinaria FF,Model,Straight Line,120,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_maq01_lmmr,marin_data.account_153_01_001,marin_data.account_504_08_001,marin_data.account_153_01_001
asset_maq02_lmmr,Maquinaria NF,Model,Straight Line,0,Years,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_maq02_lmmr,marin_data.account_153_01_002,marin_data.account_504_08_002,marin_data.account_153_01_002
asset_moq01_lmmr,Mobiliario oficina FF,Model,Straight Line,120,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_moq01_lmmr,marin_data.account_155_01_001,marin_data.account_504_10_001,marin_data.account_155_01_001
asset_moq02_lmmr,Mobiliario oficina NF,Model,Straight Line,0,Years,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_moq02_lmmr,marin_data.account_155_01_002,marin_data.account_504_10_002,marin_data.account_155_01_002
asset_trr01_lmmr,Terrenos FF,Model,Straight Line,0,Years,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_trr01_lmmr,marin_data.account_151_01_001,marin_data.account_504_14_001,marin_data.account_151_01_001
asset_trr02_lmmr,Terrenos NF,Model,Straight Line,0,Years,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmr,marin_data.journal_trr02_lmmr,marin_data.account_151_01_002,marin_data.account_504_14_002,marin_data.account_151_01_002
asset_eqt01_lmmg,Automovil FF,Model,Straight Line,48,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmg,marin_data.journal_eqt01_lmmg,marin_data.account_154_01_001,marin_data.account_504_09_001,marin_data.account_154_01_001
asset_eqt02_lmmg,Automovil NF,Model,Straight Line,0,Years,Constant Periods,2024-02-08,2024-02-08,True,marin_data.company_lmmg,marin_data.journal_eqt02_lmmg,marin_data.account_154_01_002,marin_data.account_504_09_002,marin_data.account_154_01_002
asset_eqc01_lmmg,Equipo de computo FF,Model,Straight Line,40,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmg,marin_data.journal_eqc01_lmmg,marin_data.account_156_01_001,marin_data.account_504_11_001,marin_data.account_156_01_001
asset_eqtl1_lmmg,Equipo de telecom FF,Model,Straight Line,40,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmg,marin_data.journal_eqtl1_lmmg,marin_data.account_165_01_001,marin_data.account_504_12_001,marin_data.account_165_01_001
asset_maq01_lmmg,Maquinaria FF,Model,Straight Line,120,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmg,marin_data.journal_maq01_lmmg,marin_data.account_153_01_001,marin_data.account_504_08_001,marin_data.account_153_01_001
asset_maq02_lmmg,Maquinaria NF,Model,Straight Line,0,Years,Constant Periods,2024-06-30,2024-06-30,True,marin_data.company_lmmg,marin_data.journal_maq02_lmmg,marin_data.account_153_01_002,marin_data.account_504_08_002,marin_data.account_153_01_002
asset_moq01_lmmg,Mobiliario oficina FF,Model,Straight Line,120,Months,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmg,marin_data.journal_moq01_lmmg,marin_data.account_155_01_001,marin_data.account_504_10_001,marin_data.account_155_01_001
asset_moq02_lmmg,Mobiliario oficina NF,Model,Straight Line,0,Years,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmg,marin_data.journal_moq02_lmmg,marin_data.account_155_01_002,marin_data.account_504_10_002,marin_data.account_155_01_002
asset_trr01_lmmg,Terrenos FF,Model,Straight Line,0,Years,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmg,marin_data.journal_trr01_lmmg,marin_data.account_151_01_001,marin_data.account_504_14_001,marin_data.account_151_01_001
asset_trr02_lmmg,Terrenos NF,Model,Straight Line,0,Years,Constant Periods,2024-01-01,2024-01-01,True,marin_data.company_lmmg,marin_data.journal_trr02_lmmg,marin_data.account_151_01_002,marin_data.account_504_14_002,marin_data.account_151_01_002
