id,code,type,product_qty,active,ready_to_produce,consumption,sequence,product_tmpl_id/id,product_uom_id/id,previous_bom_id/id,company_id/id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_uom_id/id,bom_line_ids/product_qty,bom_line_ids/manual_consumption,bom_line_ids/sequence
,,,,,,,,,,,,marin_data.mrp_bom_line_1045,marin_data.product_product_1725,uom.product_uom_kgm,229.4,True,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1046,marin_data.product_product_2080,uom.product_uom_kgm,0.34,True,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1047,marin_data.product_product_2081,uom.product_uom_kgm,1.147,True,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1048,marin_data.product_product_1200,uom.product_uom_kgm,91.76,True,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1049,marin_data.product_product_1727,uom.product_uom_kgm,114.7,True,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1050,marin_data.product_product_2121,uom.product_uom_kgm,19.5,True,9
,,,,,,,,,,,,marin_data.mrp_bom_line_1051,marin_data.product_product_1726,uom.product_uom_kgm,51.62,True,10
,,,,,,,,,,,,marin_data.mrp_bom_line_1052,marin_data.product_product_1520,uom.product_uom_unit,100.0,,11
,,,,,,,,,,,,marin_data.mrp_bom_line_1053,marin_data.product_product_2113,uom.product_uom_unit,150.0,,12
,,,,,,,,,,,,marin_data.mrp_bom_line_1054,marin_data.product_product_1502,uom.product_uom_unit,50.0,,13
,,,,,,,,,,,,marin_data.mrp_bom_line_1055,marin_data.product_product_2329,uom.product_uom_unit,1.0,,14
mrp_bom_1005,Formulate Alfaspray XM 1x10L Batch 200L,Manufacture this product,20.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1202,marin.uom_156,,marin_data.company_lmmr,marin_data.mrp_bom_line_1056,marin_data.product_product_1765,uom.product_uom_kgm,120.82,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1057,marin_data.product_product_1728,uom.product_uom_kgm,6.88,True,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1058,marin_data.product_product_1725,uom.product_uom_kgm,45.88,True,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1059,marin_data.product_product_2080,uom.product_uom_kgm,0.07,True,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1060,marin_data.product_product_2081,uom.product_uom_kgm,0.23,True,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1061,marin_data.product_product_1200,uom.product_uom_kgm,18.35,True,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1062,marin_data.product_product_1727,uom.product_uom_kgm,22.94,True,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1063,marin_data.product_product_2121,uom.product_uom_kgm,3.9,True,9
,,,,,,,,,,,,marin_data.mrp_bom_line_1064,marin_data.product_product_1726,uom.product_uom_kgm,10.32,True,10
,,,,,,,,,,,,marin_data.mrp_bom_line_1065,marin_data.product_product_1520,uom.product_uom_unit,20.0,,11
,,,,,,,,,,,,marin_data.mrp_bom_line_1066,marin_data.product_product_2113,uom.product_uom_unit,30.0,,12
,,,,,,,,,,,,marin_data.mrp_bom_line_1067,marin_data.product_product_1502,uom.product_uom_unit,10.0,,13
,,,,,,,,,,,,marin_data.mrp_bom_line_1068,marin_data.product_product_2329,uom.product_uom_unit,1.0,,14
mrp_bom_1006,Formulate Alfaspray XM 1x10L Batch 500L,Manufacture this product,50.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1202,marin.uom_156,,marin_data.company_lmmr,marin_data.mrp_bom_line_1069,marin_data.product_product_1765,uom.product_uom_kgm,302.06,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1070,marin_data.product_product_1728,uom.product_uom_kgm,17.21,True,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1071,marin_data.product_product_1725,uom.product_uom_kgm,114.7,True,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1072,marin_data.product_product_2080,uom.product_uom_kgm,0.17,True,5
,,,,,,,,,,,,marin_data.mrp_bom_line_1073,marin_data.product_product_2081,uom.product_uom_kgm,0.57,True,6
,,,,,,,,,,,,marin_data.mrp_bom_line_1074,marin_data.product_product_1200,uom.product_uom_kgm,45.88,True,7
,,,,,,,,,,,,marin_data.mrp_bom_line_1075,marin_data.product_product_1727,uom.product_uom_kgm,57.35,True,8
,,,,,,,,,,,,marin_data.mrp_bom_line_1076,marin_data.product_product_2121,uom.product_uom_kgm,9.75,True,9
,,,,,,,,,,,,marin_data.mrp_bom_line_1077,marin_data.product_product_1726,uom.product_uom_kgm,25.81,True,10
,,,,,,,,,,,,marin_data.mrp_bom_line_1078,marin_data.product_product_1520,uom.product_uom_unit,50.0,,11
,,,,,,,,,,,,marin_data.mrp_bom_line_1079,marin_data.product_product_2113,uom.product_uom_unit,75.0,,12
,,,,,,,,,,,,marin_data.mrp_bom_line_1080,marin_data.product_product_1502,uom.product_uom_unit,25.0,,13
,,,,,,,,,,,,marin_data.mrp_bom_line_1081,marin_data.product_product_2329,uom.product_uom_unit,1.0,,14
mrp_bom_1007,Refill Asanit XM 500 WDG 8x1Kg Batch 1000Kg,Manufacture this product,1000.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1239,uom.product_uom_kgm,,marin_data.company_lmmr,marin_data.mrp_bom_line_1082,marin_data.product_product_2028,uom.product_uom_kgm,1000.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1083,marin_data.product_product_1729,uom.product_uom_unit,1000.0,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1084,marin_data.product_product_1501,uom.product_uom_unit,125.0,,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1085,marin_data.product_product_2111,uom.product_uom_unit,125.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1086,marin_data.product_product_2329,uom.product_uom_unit,1.0,,6
mrp_bom_1008,Refill Asanit XM 500 WDG 8x1Kg Batch 200Kg,Manufacture this product,200.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1239,uom.product_uom_kgm,,marin_data.company_lmmr,marin_data.mrp_bom_line_1087,marin_data.product_product_2028,uom.product_uom_kgm,200.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1088,marin_data.product_product_1729,uom.product_uom_unit,200.0,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1089,marin_data.product_product_1501,uom.product_uom_unit,25.0,,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1090,marin_data.product_product_2111,uom.product_uom_unit,25.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1091,marin_data.product_product_2329,uom.product_uom_unit,1.0,,6
mrp_bom_1009,Refill Asanit XM 500 WDG 8x1Kg Batch 500Kg,Manufacture this product,500.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1239,uom.product_uom_kgm,,marin_data.company_lmmr,marin_data.mrp_bom_line_1092,marin_data.product_product_2028,uom.product_uom_kgm,500.0,True,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1093,marin_data.product_product_1729,uom.product_uom_unit,500.0,,2
,,,,,,,,,,,,marin_data.mrp_bom_line_1094,marin_data.product_product_1501,uom.product_uom_unit,63.0,,3
,,,,,,,,,,,,marin_data.mrp_bom_line_1095,marin_data.product_product_2111,uom.product_uom_unit,63.0,,4
,,,,,,,,,,,,marin_data.mrp_bom_line_1096,marin_data.product_product_2329,uom.product_uom_unit,1.0,,6
mrp_bom_1010,Refill Breisse XM  0.130Kg Batch 1000,Manufacture this product,1000.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1344,marin.uom_109,,marin_data.company_lmmr,marin_data.mrp_bom_line_1097,marin_data.product_product_1339,uom.product_uom_kgm,130.0,,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1098,marin_data.product_product_1730,uom.product_uom_unit,1000.0,,2
mrp_bom_1011,Refill Breisse XM  0.130Kg Batch 200,Manufacture this product,200.0,True, When all components are available,Allowed with warning,10,marin_data.product_template_1344,marin.uom_109,,marin_data.company_lmmr,marin_data.mrp_bom_line_1099,marin_data.product_product_1339,uom.product_uom_kgm,26.0,,1
,,,,,,,,,,,,marin_data.mrp_bom_line_1100,marin_data.product_product_1730,uom.product_uom_unit,200.0,,2
