"id","transfer_account_id/id","default_cash_difference_expense_account_id/id","default_cash_difference_income_account_id/id","account_journal_suspense_account_id/id","account_journal_early_pay_discount_gain_account_id/id","account_journal_early_pay_discount_loss_account_id/id","currency_exchange_journal_id/id","income_currency_exchange_account_id/id","expense_currency_exchange_account_id/id","account_default_pos_receivable_account_id/id","tax_cash_basis_journal_id/id","account_cash_basis_base_account_id/id","account_tax_periodicity_journal_id/id","deferred_journal_id/id"
"marin.company_lmmr","marin.account_102_01_111_lmmr","marin.account_703_21_002_lmmr","marin.account_704_23_002_lmmr","marin.account_102_01_000_lmmr","marin.account_704_22_001_lmmr","marin.account_703_21_003_lmmr","marin.journal_exch1_lmmr","marin.account_702_01_001_lmmr","marin.account_701_01_001_lmmr","marin.account_105_01_002_lmmr","marin.journal_cbmx1_lmmr","marin.account_899_01_099_lmmr","marin.journal_caba1_lmmr","marin.journal_msc1_lmmr"
"marin.company_tjgl","marin.account_102_01_111_tjgl","marin.account_703_21_002_tjgl","marin.account_704_23_002_tjgl","marin.account_102_01_000_tjgl","marin.account_704_22_001_tjgl","marin.account_703_21_003_tjgl","marin.journal_exch1_tjgl","marin.account_702_01_001_tjgl","marin.account_701_01_001_tjgl","marin.account_105_01_002_tjgl","marin.journal_cbmx1_tjgl","marin.account_899_01_099_tjgl","marin.journal_caba1_tjgl","marin.journal_msc1_tjgl"
"marin.company_lmmg","marin.account_102_01_111_lmmg","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg","marin.account_704_22_001_lmmg","marin.account_703_21_003_lmmg","marin.journal_exch1_lmmg","marin.account_702_01_001_lmmg","marin.account_701_01_001_lmmg","marin.account_105_01_002_lmmg","marin.journal_cbmx1_lmmg","marin.account_899_01_099_lmmg","marin.journal_caba1_lmmg","marin.journal_msc1_lmmg"
"marin.company_glmm","marin.account_102_01_111_glmm","marin.account_703_21_002_glmm","marin.account_704_23_002_glmm","marin.account_102_01_000_glmm","marin.account_704_22_001_glmm","marin.account_703_21_003_glmm","marin.journal_exch1_glmm","marin.account_702_01_001_glmm","marin.account_701_01_001_glmm","marin.account_105_01_002_glmm","marin.journal_cbmx1_glmm","marin.account_899_01_099_glmm","marin.journal_caba1_glmm","marin.journal_msc1_glmm"
