"id","company_id/id","previous_bom_id/id","product_tmpl_id/id","product_uom_id/id","code","product_qty","type","ready_to_produce","consumption","sequence","active","bom_line_ids/id","bom_line_ids/product_id/id","bom_line_ids/product_uom_id/id","bom_line_ids/product_qty","bom_line_ids/manual_consumption","bom_line_ids/sequence"
"","","","","","","","","","","","","marin.bom_line_1050","marin.product_product_1728","uom.product_uom_kgm","51.62","True","9"
"","","","","","","","","","","","","marin.bom_line_1051","marin.product_product_2117","uom.product_uom_unit","150.0","","10"
"","","","","","","","","","","","","marin.bom_line_1052","marin.product_product_1523","uom.product_uom_unit","100.0","","11"
"","","","","","","","","","","","","marin.bom_line_1053","marin.product_product_2333","uom.product_uom_unit","1.0","","13"
"marin.bom_1005","marin.company_lmmg","","marin.product_template_1203","marin.uom_uom_153","Formulate Alfaspray XM 1x10L Batch 500L","50.0","Manufacture this product"," When all components are available","Allowed with warning","12","True","marin.bom_line_1054","marin.product_product_1730","uom.product_uom_kgm","17.21","True","2"
"","","","","","","","","","","","","marin.bom_line_1055","marin.product_product_1727","uom.product_uom_kgm","114.7","True","3"
"","","","","","","","","","","","","marin.bom_line_1056","marin.product_product_2084","uom.product_uom_kgm","0.17","True","4"
"","","","","","","","","","","","","marin.bom_line_1057","marin.product_product_2085","uom.product_uom_kgm","0.57","True","5"
"","","","","","","","","","","","","marin.bom_line_1058","marin.product_product_1201","uom.product_uom_kgm","45.88","True","6"
"","","","","","","","","","","","","marin.bom_line_1059","marin.product_product_1729","uom.product_uom_kgm","57.35","True","7"
"","","","","","","","","","","","","marin.bom_line_1060","marin.product_product_2125","uom.product_uom_kgm","9.75","True","8"
"","","","","","","","","","","","","marin.bom_line_1061","marin.product_product_1728","uom.product_uom_kgm","25.81","True","9"
"","","","","","","","","","","","","marin.bom_line_1062","marin.product_product_2117","uom.product_uom_unit","75.0","","10"
"","","","","","","","","","","","","marin.bom_line_1063","marin.product_product_1523","uom.product_uom_unit","50.0","","11"
"","","","","","","","","","","","","marin.bom_line_1064","marin.product_product_1841","uom.product_uom_unit","25.0","","12"
"","","","","","","","","","","","","marin.bom_line_1065","marin.product_product_2333","uom.product_uom_unit","1.0","","13"
"marin.bom_1006","marin.company_lmmg","","marin.product_template_1203","marin.uom_uom_153","Formulate Alfaspray XM 1x10L Batch 200L","20.0","Manufacture this product"," When all components are available","Allowed with warning","13","True","marin.bom_line_1066","marin.product_product_1730","uom.product_uom_kgm","6.88","True","2"
"","","","","","","","","","","","","marin.bom_line_1067","marin.product_product_1727","uom.product_uom_kgm","45.88","True","3"
"","","","","","","","","","","","","marin.bom_line_1068","marin.product_product_2084","uom.product_uom_kgm","0.07","True","4"
"","","","","","","","","","","","","marin.bom_line_1069","marin.product_product_2085","uom.product_uom_kgm","0.23","True","5"
"","","","","","","","","","","","","marin.bom_line_1070","marin.product_product_1201","uom.product_uom_kgm","18.35","True","6"
"","","","","","","","","","","","","marin.bom_line_1071","marin.product_product_1729","uom.product_uom_kgm","22.94","True","7"
"","","","","","","","","","","","","marin.bom_line_1072","marin.product_product_2125","uom.product_uom_kgm","3.9","True","8"
"","","","","","","","","","","","","marin.bom_line_1073","marin.product_product_1728","uom.product_uom_kgm","10.32","True","9"
"","","","","","","","","","","","","marin.bom_line_1074","marin.product_product_2117","uom.product_uom_unit","30.0","","10"
"","","","","","","","","","","","","marin.bom_line_1075","marin.product_product_1523","uom.product_uom_unit","20.0","","11"
"","","","","","","","","","","","","marin.bom_line_1076","marin.product_product_2333","uom.product_uom_unit","1.0","","13"
"marin.bom_1007","marin.company_lmmg","","marin.product_template_1240","uom.product_uom_kgm","Refill Asanit 50 XM 8x1Kg 1200","1000.0","Manufacture this product"," When all components are available","Allowed with warning","1","True","marin.bom_line_1077","marin.product_product_2031","marin.uom_uom_123","48.0","True","1"
"","","","","","","","","","","","","marin.bom_line_1078","marin.product_product_1731","uom.product_uom_unit","1200.0","","2"
"","","","","","","","","","","","","marin.bom_line_1079","marin.product_product_1504","uom.product_uom_unit","100.0","","3"
"","","","","","","","","","","","","marin.bom_line_1080","marin.product_product_2115","uom.product_uom_unit","100.0","","4"
"","","","","","","","","","","","","marin.bom_line_1081","marin.product_product_2333","uom.product_uom_unit","2.0","","6"
"marin.bom_1008","marin.company_lmmg","","marin.product_template_1495","uom.product_uom_litre","Refill Deprebac XM 12x1L 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","3","True","marin.bom_line_1082","marin.product_product_1914","uom.product_uom_litre","1000.0","True","1"
"","","","","","","","","","","","","marin.bom_line_1083","marin.product_product_1666","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","marin.bom_line_1084","marin.product_product_1667","uom.product_uom_unit","1000.0","","5"
"","","","","","","","","","","","","marin.bom_line_1085","marin.product_product_2098","uom.product_uom_unit","1000.0","","6"
"","","","","","","","","","","","","marin.bom_line_1086","marin.product_product_1504","uom.product_uom_unit","83.33","","7"
"","","","","","","","","","","","","marin.bom_line_1087","marin.product_product_2107","uom.product_uom_unit","83.33","","8"
"","","","","","","","","","","","","marin.bom_line_1088","marin.product_product_2333","uom.product_uom_unit","2.0","","9"
"marin.bom_1009","marin.company_lmmg","","marin.product_template_1507","uom.product_uom_litre","Refill Distriva XM 12x1L 1000","600.0","Manufacture this product"," When all components are available","Allowed with warning","2","True","marin.bom_line_1089","marin.product_product_2188","uom.product_uom_kgm","1000.0","True","1"
"","","","","","","","","","","","","marin.bom_line_1090","marin.product_product_1666","uom.product_uom_unit","1000.0","","2"
"","","","","","","","","","","","","marin.bom_line_1091","marin.product_product_1667","uom.product_uom_unit","1000.0","","3"
"","","","","","","","","","","","","marin.bom_line_1092","marin.product_product_2099","uom.product_uom_unit","1000.0","","4"
"","","","","","","","","","","","","marin.bom_line_1093","marin.product_product_1504","uom.product_uom_unit","83.33","","5"
"","","","","","","","","","","","","marin.bom_line_1094","marin.product_product_2108","uom.product_uom_unit","83.33","","6"
"","","","","","","","","","","","","marin.bom_line_1095","marin.product_product_2333","uom.product_uom_unit","2.0","","7"
