id,name,qty,sales,purchase,product_id/id,package_type_id/id
marin.product_packaging_1180,12x1,12.0,True,True,marin.product_product_1729,marin.stock_package_type_8
marin.product_packaging_1181,4x1,4.0,True,True,marin.product_product_1730,marin.stock_package_type_25
marin.product_packaging_1182,16x1,16.0,True,True,marin.product_product_1731,marin.stock_package_type_9
marin.product_packaging_1183,64x1,64.0,True,True,marin.product_product_1733,marin.stock_package_type_28
marin.product_packaging_1184,16x1,16.0,True,True,marin.product_product_1734,marin.stock_package_type_13
marin.product_packaging_1185,16x1,16.0,True,True,marin.product_product_1735,marin.stock_package_type_13
marin.product_packaging_1186,1x20,1.0,True,True,marin.product_product_1736,marin.stock_package_type_37
marin.product_packaging_1187,20x1,20.0,True,True,marin.product_product_1739,marin.stock_package_type_15
marin.product_packaging_1188,12X1,12.0,True,True,marin.product_product_1740,marin.stock_package_type_8
marin.product_packaging_1189,2x10,2.0,True,True,marin.product_product_1743,marin.stock_package_type_23
marin.product_packaging_1190,16x1,16.0,True,True,marin.product_product_1746,marin.stock_package_type_13
marin.product_packaging_1191,15x1,15.0,True,True,marin.product_product_1765,marin.stock_package_type_6
marin.product_packaging_1192,12x1,12.0,True,True,marin.product_product_1767,marin.stock_package_type_8
marin.product_packaging_1193,2x1,2.0,True,True,marin.product_product_1768,marin.stock_package_type_23
marin.product_packaging_1194,12x1,12.0,True,True,marin.product_product_1770,marin.stock_package_type_8
marin.product_packaging_1195,12x1,12.0,True,True,marin.product_product_1772,marin.stock_package_type_12
marin.product_packaging_1196,12x1,12.0,True,True,marin.product_product_1773,marin.stock_package_type_8
marin.product_packaging_1197,12x1,12.0,True,True,marin.product_product_1774,marin.stock_package_type_8
marin.product_packaging_1198,12x1,12.0,True,True,marin.product_product_1792,marin.stock_package_type_8
marin.product_packaging_1199,4x1,4.0,True,True,marin.product_product_1801,marin.stock_package_type_25
marin.product_packaging_1200,12x1,12.0,True,True,marin.product_product_1802,marin.stock_package_type_8
marin.product_packaging_1201,1x25,1.0,True,True,marin.product_product_1804,marin.stock_package_type_42
marin.product_packaging_1202,24x1,24.0,True,True,marin.product_product_1805,marin.stock_package_type_21
marin.product_packaging_1203,1x25,1.0,True,True,marin.product_product_1806,marin.stock_package_type_42
marin.product_packaging_1204,24x1,24.0,True,True,marin.product_product_1807,marin.stock_package_type_21
marin.product_packaging_1205,1x25,1.0,True,True,marin.product_product_1808,marin.stock_package_type_42
marin.product_packaging_1206,12x1,12.0,True,True,marin.product_product_1812,marin.stock_package_type_8
marin.product_packaging_1207,15x1,15.0,True,True,marin.product_product_1813,marin.stock_package_type_6
marin.product_packaging_1208,12x1,12.0,True,True,marin.product_product_1814,marin.stock_package_type_8
marin.product_packaging_1209,1x20,1.0,True,True,marin.product_product_1825,marin.stock_package_type_37
marin.product_packaging_1210,12x1,12.0,True,True,marin.product_product_1834,marin.stock_package_type_12
marin.product_packaging_1211,50kg,0.05,True,True,marin.product_product_1835,marin.stock_package_type_43
marin.product_packaging_1212,6x1,6.0,True,True,marin.product_product_1836,marin.stock_package_type_30
marin.product_packaging_1213,12x1,12.0,True,True,marin.product_product_1838,marin.stock_package_type_8
marin.product_packaging_1214,10x1,10.0,True,True,marin.product_product_1844,marin.stock_package_type_4
marin.product_packaging_1215,10x1,10.0,True,True,marin.product_product_1848,marin.stock_package_type_33
