id,name,default_code,type,uom_id/id,uom_po_id/id,standard_price,list_price,volume,weight,base_unit_count,barcode,x_dose_x_ha,active,available_in_pos,can_be_expensed,purchase_ok,rent_ok,sale_ok,landed_cost_ok,is_published,is_storable,tracking,invoice_policy,purchase_method,pos_categ_ids/id,categ_id/id,unspsc_code_id/id
marin.product_template_2139,Ruhega box label 12x1L Linexar XM 1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2140,Ruhega box label 12x1L Omipro CT 1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2141,Ruhega box label 12x1L Omipro XM 1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2142,Ruhega box label 12x1kg Asanit XM 1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,0.0,,0.0,True,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2143,Ruhega box label 12x1kg Ingenux XM 1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,0.0,,0.0,True,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2144,Ruhega etiqueta botella 1L Magistop XM 1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,,,,True,,True,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2145,Ruhega mixed label Alfaspray XM 10L 1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,0.0,,0.0,True,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2146,Ruhega mixed label Alfaspray XM 1L  1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2147,Ruhega mixed label Magistop XM 1pz,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,,,,True,By Quantity,Ordered quantities,On ordered quantities,,marin.product_category_116,
marin.product_template_2148,S-Magic,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,560.0,0.0,0.0,1.0,,0.0,True,,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_147,
marin.product_template_2149,SA-Propel RTU 0.250L,,Goods,marin.uom_uom_143,marin.uom_uom_143,0.0,590.0,0.0,0.27,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_127,product_unspsc.unspsc_code_10161527
marin.product_template_2150,SA-Propel RTU 0.500L,,Goods,marin.uom_uom_140,marin.uom_uom_140,0.0,1500.0,0.0,0.55,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_127,product_unspsc.unspsc_code_10161527
marin.product_template_2151,SA-Propel RTU 1x5L,,Goods,marin.uom_uom_155,marin.uom_uom_155,0.0,590.0,0.0,5.5,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_127,product_unspsc.unspsc_code_10161527
marin.product_template_2152,SA-Propel RTU GR. 5L,,Goods,uom.product_uom_unit,uom.product_uom_unit,0.0,1.0,0.0,0.0,1.0,,0.0,True,True,,True,,True,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_127,
marin.product_template_2153,SAG47 1kg,,Goods,uom.product_uom_kgm,uom.product_uom_kgm,0.0,1.0,0.0,1.0,1.0,,0.0,True,,,True,,,,,True,By Lots,Ordered quantities,On ordered quantities,,marin.product_category_115,
