id,name,company_id/id,country_id/id,advance_tax_payment_account_id/id,tax_payable_account_id/id,tax_receivable_account_id/id,sequence
marin.tax_group_1049_isr_63_67_retention_lmmg,ISR 63.67% retention,marin.company_lmmg,base.mx,,,,11
marin.tax_group_1050_vat_0_0_lmmg,VAT 0.0%,marin.company_lmmg,base.mx,,marin.account_213_01_001_lmmg,marin.account_113_01_001_lmmg,11
marin.tax_group_1051_vat_16_0_lmmg,VAT 16.0%,marin.company_lmmg,base.mx,,marin.account_213_01_001_lmmg,marin.account_113_01_001_lmmg,11
marin.tax_group_1052_vat_8_0_lmmg,VAT 8.0%,marin.company_lmmg,base.mx,,marin.account_213_01_001_lmmg,marin.account_113_01_001_lmmg,11
marin.tax_group_1053_vat_exempt_lmmg,VAT exempt,marin.company_lmmg,base.mx,,marin.account_213_01_001_lmmg,marin.account_113_01_001_lmmg,11
marin.tax_group_1054_vat_1_25_retention_lmmg,VAT 1.25% retention,marin.company_lmmg,base.mx,,,,11
marin.tax_group_1055_vat_10_0_retention_lmmg,VAT 10.0% retention,marin.company_lmmg,base.mx,,,,11
marin.tax_group_1056_vat_10_67_retention_lmmg,VAT 10.67% retention,marin.company_lmmg,base.mx,,,,11
marin.tax_group_1057_vat_4_0_retention_lmmg,VAT 4.0% retention,marin.company_lmmg,base.mx,,,,11
marin.tax_group_1058_dsa_ammg,DSA,marin.company_ammg,base.mx,,,,10
marin.tax_group_1059_ieps_25_0_ammg,IEPS 25.0%,marin.company_ammg,base.mx,,,,11
marin.tax_group_1060_ieps_26_5_ammg,IEPS 26.5%,marin.company_ammg,base.mx,,,,11
marin.tax_group_1061_ieps_3_0_ammg,IEPS 3.0%,marin.company_ammg,base.mx,,,,10
marin.tax_group_1062_ieps_30_0_ammg,IEPS 30.0%,marin.company_ammg,base.mx,,,,11
marin.tax_group_1063_ieps_53_0_ammg,IEPS 53.0%,marin.company_ammg,base.mx,,,,11
marin.tax_group_1064_ieps_8_0_ammg,IEPS 8.0%,marin.company_ammg,base.mx,,,,11
marin.tax_group_1065_ieps_pesticides_ammg,IEPS pesticides,marin.company_ammg,base.mx,,,,11
marin.tax_group_1066_ish_ammg,ISH,marin.company_ammg,base.mx,,,,11
