id,account_prefix,analytic_distribution,company_id/id,product_id/id,vehicle_id/id
marin.analytic_distribution_model_1050,501.01.00,"{""1025"": 100.0}",marin.company_lmmr,marin.product_product_1213,
marin.analytic_distribution_model_1051,401.04.00,"{""1026"": 100.0}",marin.company_lmmr,marin.product_product_1214,
marin.analytic_distribution_model_1052,501.01.00,"{""1026"": 100.0}",marin.company_lmmr,marin.product_product_1214,
marin.analytic_distribution_model_1053,401.04.00,"{""1028"": 100.0}",marin.company_lmmr,marin.product_product_1220,
marin.analytic_distribution_model_1054,501.01.00,"{""1028"": 100.0}",marin.company_lmmr,marin.product_product_1220,
marin.analytic_distribution_model_1055,401.04.00,"{""1029"": 100.0}",marin.company_lmmr,marin.product_product_1221,
marin.analytic_distribution_model_1056,501.01.00,"{""1029"": 100.0}",marin.company_lmmr,marin.product_product_1221,
marin.analytic_distribution_model_1057,401.04.00,"{""1027"": 100.0}",marin.company_lmmr,marin.product_product_1222,
marin.analytic_distribution_model_1058,501.01.00,"{""1027"": 100.0}",marin.company_lmmr,marin.product_product_1222,
marin.analytic_distribution_model_1059,401.04.00,"{""1030"": 100.0}",marin.company_lmmr,marin.product_product_1223,
marin.analytic_distribution_model_1060,501.01.00,"{""1030"": 100.0}",marin.company_lmmr,marin.product_product_1223,
marin.analytic_distribution_model_1061,401.04.00,"{""1031"": 100.0}",marin.company_lmmr,marin.product_product_1224,
marin.analytic_distribution_model_1062,501.01.00,"{""1031"": 100.0}",marin.company_lmmr,marin.product_product_1224,
marin.analytic_distribution_model_1063,401.04.00,"{""1032"": 100.0}",marin.company_lmmr,marin.product_product_1228,
marin.analytic_distribution_model_1064,501.01.00,"{""1032"": 100.0}",marin.company_lmmr,marin.product_product_1228,
marin.analytic_distribution_model_1065,401.04.00,"{""1033"": 100.0}",marin.company_lmmr,marin.product_product_1230,
marin.analytic_distribution_model_1066,501.01.00,"{""1033"": 100.0}",marin.company_lmmr,marin.product_product_1230,
marin.analytic_distribution_model_1067,401.04.00,"{""1034"": 100.0}",marin.company_lmmr,marin.product_product_1231,
marin.analytic_distribution_model_1068,501.01.00,"{""1034"": 100.0}",marin.company_lmmr,marin.product_product_1231,
marin.analytic_distribution_model_1069,401.04.00,"{""1035"": 100.0}",marin.company_lmmr,marin.product_product_1232,
marin.analytic_distribution_model_1070,501.01.00,"{""1035"": 100.0}",marin.company_lmmr,marin.product_product_1232,
marin.analytic_distribution_model_1071,401.04.00,"{""1036"": 100.0}",marin.company_lmmr,marin.product_product_1234,
marin.analytic_distribution_model_1072,501.01.00,"{""1036"": 100.0}",marin.company_lmmr,marin.product_product_1234,
marin.analytic_distribution_model_1073,401.04.00,"{""1037"": 100.0}",marin.company_lmmr,marin.product_product_1236,
marin.analytic_distribution_model_1074,501.01.00,"{""1037"": 100.0}",marin.company_lmmr,marin.product_product_1236,
marin.analytic_distribution_model_1075,401.04.00,"{""1038"": 100.0}",marin.company_lmmr,marin.product_product_1237,
marin.analytic_distribution_model_1076,501.01.00,"{""1038"": 100.0}",marin.company_lmmr,marin.product_product_1237,
marin.analytic_distribution_model_1077,401.04.00,"{""1039"": 100.0}",marin.company_lmmr,marin.product_product_1238,
marin.analytic_distribution_model_1078,501.01.00,"{""1039"": 100.0}",marin.company_lmmr,marin.product_product_1238,
marin.analytic_distribution_model_1079,401.04.00,"{""1040"": 100.0}",marin.company_lmmr,marin.product_product_1239,
marin.analytic_distribution_model_1080,501.01.00,"{""1040"": 100.0}",marin.company_lmmr,marin.product_product_1239,
marin.analytic_distribution_model_1081,401.04.00,"{""1041"": 100.0}",marin.company_lmmr,marin.product_product_1240,
marin.analytic_distribution_model_1082,501.01.00,"{""1041"": 100.0}",marin.company_lmmr,marin.product_product_1240,
marin.analytic_distribution_model_1083,401.04.00,"{""1042"": 100.0}",marin.company_lmmr,marin.product_product_1257,
marin.analytic_distribution_model_1084,501.01.00,"{""1042"": 100.0}",marin.company_lmmr,marin.product_product_1257,
marin.analytic_distribution_model_1085,401.04.00,"{""1043"": 100.0}",marin.company_lmmr,marin.product_product_1258,
marin.analytic_distribution_model_1086,501.01.00,"{""1043"": 100.0}",marin.company_lmmr,marin.product_product_1258,
marin.analytic_distribution_model_1087,401.04.00,"{""1044"": 100.0}",marin.company_lmmr,marin.product_product_1259,
marin.analytic_distribution_model_1088,501.01.00,"{""1044"": 100.0}",marin.company_lmmr,marin.product_product_1259,
marin.analytic_distribution_model_1089,401.04.00,"{""1045"": 100.0}",marin.company_lmmr,marin.product_product_1268,
marin.analytic_distribution_model_1090,501.01.00,"{""1045"": 100.0}",marin.company_lmmr,marin.product_product_1268,
marin.analytic_distribution_model_1091,401.04.00,"{""1046"": 100.0}",marin.company_lmmr,marin.product_product_1270,
marin.analytic_distribution_model_1092,501.01.00,"{""1046"": 100.0}",marin.company_lmmr,marin.product_product_1270,
marin.analytic_distribution_model_1093,401.04.00,"{""1047"": 100.0}",marin.company_lmmr,marin.product_product_1273,
marin.analytic_distribution_model_1094,501.01.00,"{""1047"": 100.0}",marin.company_lmmr,marin.product_product_1273,
marin.analytic_distribution_model_1095,401.04.00,"{""1048"": 100.0}",marin.company_lmmr,marin.product_product_1274,
marin.analytic_distribution_model_1096,501.01.00,"{""1048"": 100.0}",marin.company_lmmr,marin.product_product_1274,
marin.analytic_distribution_model_1097,401.04.00,"{""1049"": 100.0}",marin.company_lmmr,marin.product_product_1275,
marin.analytic_distribution_model_1098,501.01.00,"{""1049"": 100.0}",marin.company_lmmr,marin.product_product_1275,
marin.analytic_distribution_model_1099,401.04.00,"{""1050"": 100.0}",marin.company_lmmr,marin.product_product_1284,
marin.analytic_distribution_model_1100,501.01.00,"{""1050"": 100.0}",marin.company_lmmr,marin.product_product_1284,
marin.analytic_distribution_model_1101,401.04.00,"{""1051"": 100.0}",marin.company_lmmr,marin.product_product_1287,
marin.analytic_distribution_model_1102,501.01.00,"{""1051"": 100.0}",marin.company_lmmr,marin.product_product_1287,
marin.analytic_distribution_model_1103,401.04.00,"{""1052"": 100.0}",marin.company_lmmr,marin.product_product_1289,
marin.analytic_distribution_model_1104,501.01.00,"{""1052"": 100.0}",marin.company_lmmr,marin.product_product_1289,
marin.analytic_distribution_model_1105,401.04.00,"{""1053"": 100.0}",marin.company_lmmr,marin.product_product_1298,
marin.analytic_distribution_model_1106,501.01.00,"{""1053"": 100.0}",marin.company_lmmr,marin.product_product_1298,
marin.analytic_distribution_model_1107,401.04.00,"{""1054"": 100.0}",marin.company_lmmr,marin.product_product_1299,
marin.analytic_distribution_model_1108,501.01.00,"{""1054"": 100.0}",marin.company_lmmr,marin.product_product_1299,
marin.analytic_distribution_model_1109,401.04.00,"{""1055"": 100.0}",marin.company_lmmr,marin.product_product_1300,
marin.analytic_distribution_model_1110,501.01.00,"{""1055"": 100.0}",marin.company_lmmr,marin.product_product_1300,
marin.analytic_distribution_model_1111,401.04.00,"{""1056"": 100.0}",marin.company_lmmr,marin.product_product_1308,
marin.analytic_distribution_model_1112,501.01.00,"{""1056"": 100.0}",marin.company_lmmr,marin.product_product_1308,
marin.analytic_distribution_model_1113,401.04.00,"{""1058"": 100.0}",marin.company_lmmr,marin.product_product_1310,
marin.analytic_distribution_model_1114,501.01.00,"{""1058"": 100.0}",marin.company_lmmr,marin.product_product_1310,
marin.analytic_distribution_model_1115,401.04.00,"{""1066"": 100.0}",marin.company_lmmr,marin.product_product_1321,
marin.analytic_distribution_model_1116,401.04.00,"{""1065"": 100.0}",marin.company_lmmr,marin.product_product_1321,
marin.analytic_distribution_model_1117,501.01.00,"{""1066"": 100.0}",marin.company_lmmr,marin.product_product_1321,
marin.analytic_distribution_model_1118,401.04.00,"{""1059"": 100.0}",marin.company_lmmr,marin.product_product_1323,
marin.analytic_distribution_model_1119,501.01.00,"{""1059"": 100.0}",marin.company_lmmr,marin.product_product_1323,
marin.analytic_distribution_model_1120,401.04.00,"{""1060"": 100.0}",marin.company_lmmr,marin.product_product_1324,
marin.analytic_distribution_model_1121,501.01.00,"{""1060"": 100.0}",marin.company_lmmr,marin.product_product_1324,
marin.analytic_distribution_model_1122,401.04.00,"{""1069"": 100.0}",marin.company_lmmr,marin.product_product_1325,
