id,tax_id/id,account_id/id,tag_ids/id
marin.tax_repartition_line_5041,marin.tax_1011_ieps_6_0_lmmr,,
marin.tax_repartition_line_5042,marin.tax_1011_ieps_6_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5043,marin.tax_1011_ieps_6_0_lmmr,,
marin.tax_repartition_line_5044,marin.tax_1011_ieps_6_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5045,marin.tax_1012_ieps_7_0_lmmr,,
marin.tax_repartition_line_5046,marin.tax_1012_ieps_7_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5047,marin.tax_1012_ieps_7_0_lmmr,,
marin.tax_repartition_line_5048,marin.tax_1012_ieps_7_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5049,marin.tax_1013_ieps_7_0_lmmr,,
marin.tax_repartition_line_5050,marin.tax_1013_ieps_7_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5051,marin.tax_1013_ieps_7_0_lmmr,,
marin.tax_repartition_line_5052,marin.tax_1013_ieps_7_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5053,marin.tax_1014_ieps_9_0_lmmr,,
marin.tax_repartition_line_5054,marin.tax_1014_ieps_9_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5055,marin.tax_1014_ieps_9_0_lmmr,,
marin.tax_repartition_line_5056,marin.tax_1014_ieps_9_0_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5057,marin.tax_1015_ieps_9_0_lmmr,,
marin.tax_repartition_line_5058,marin.tax_1015_ieps_9_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5059,marin.tax_1015_ieps_9_0_lmmr,,
marin.tax_repartition_line_5060,marin.tax_1015_ieps_9_0_lmmr,marin.account_208_02_001_lmmr,
marin.tax_repartition_line_5061,marin.tax_1016_ieps_exempt_lmmr,,
marin.tax_repartition_line_5062,marin.tax_1016_ieps_exempt_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5063,marin.tax_1016_ieps_exempt_lmmr,,
marin.tax_repartition_line_5064,marin.tax_1016_ieps_exempt_lmmr,marin.account_118_03_001_lmmr,
marin.tax_repartition_line_5065,marin.tax_1017_ish_2_0_601_lmmr,,
marin.tax_repartition_line_5066,marin.tax_1017_ish_2_0_601_lmmr,marin.account_601_49_001_lmmr,
marin.tax_repartition_line_5067,marin.tax_1017_ish_2_0_601_lmmr,,
marin.tax_repartition_line_5068,marin.tax_1017_ish_2_0_601_lmmr,marin.account_601_49_001_lmmr,
marin.tax_repartition_line_5069,marin.tax_1018_ish_2_0_602_lmmr,,
marin.tax_repartition_line_5070,marin.tax_1018_ish_2_0_602_lmmr,marin.account_602_49_001_lmmr,
marin.tax_repartition_line_5071,marin.tax_1018_ish_2_0_602_lmmr,,
marin.tax_repartition_line_5072,marin.tax_1018_ish_2_0_602_lmmr,marin.account_602_49_001_lmmr,
marin.tax_repartition_line_5073,marin.tax_1019_ish_3_0_601_lmmr,,
marin.tax_repartition_line_5074,marin.tax_1019_ish_3_0_601_lmmr,marin.account_601_49_001_lmmr,
marin.tax_repartition_line_5075,marin.tax_1019_ish_3_0_601_lmmr,,
marin.tax_repartition_line_5076,marin.tax_1019_ish_3_0_601_lmmr,marin.account_601_49_001_lmmr,
marin.tax_repartition_line_5077,marin.tax_1020_ish_3_0_602_lmmr,,
marin.tax_repartition_line_5078,marin.tax_1020_ish_3_0_602_lmmr,marin.account_602_49_001_lmmr,
marin.tax_repartition_line_5079,marin.tax_1020_ish_3_0_602_lmmr,,
marin.tax_repartition_line_5080,marin.tax_1020_ish_3_0_602_lmmr,marin.account_602_49_001_lmmr,
marin.tax_repartition_line_5081,marin.tax_1021_ish_3_5_601_lmmr,,
marin.tax_repartition_line_5082,marin.tax_1021_ish_3_5_601_lmmr,marin.account_601_49_001_lmmr,
marin.tax_repartition_line_5083,marin.tax_1021_ish_3_5_601_lmmr,,
marin.tax_repartition_line_5084,marin.tax_1021_ish_3_5_601_lmmr,marin.account_601_49_001_lmmr,
marin.tax_repartition_line_5085,marin.tax_1022_ish_3_5_602_lmmr,,
marin.tax_repartition_line_5086,marin.tax_1022_ish_3_5_602_lmmr,marin.account_602_49_001_lmmr,
marin.tax_repartition_line_5087,marin.tax_1022_ish_3_5_602_lmmr,,
marin.tax_repartition_line_5088,marin.tax_1022_ish_3_5_602_lmmr,marin.account_602_49_001_lmmr,
marin.tax_repartition_line_5089,marin.tax_1023_ish_4_0_601_lmmr,,
marin.tax_repartition_line_5090,marin.tax_1023_ish_4_0_601_lmmr,marin.account_601_49_001_lmmr,
marin.tax_repartition_line_5091,marin.tax_1023_ish_4_0_601_lmmr,,
marin.tax_repartition_line_5092,marin.tax_1023_ish_4_0_601_lmmr,marin.account_601_49_001_lmmr,
marin.tax_repartition_line_5093,marin.tax_1024_ish_4_0_602_lmmr,,
marin.tax_repartition_line_5094,marin.tax_1024_ish_4_0_602_lmmr,marin.account_602_49_001_lmmr,
marin.tax_repartition_line_5095,marin.tax_1024_ish_4_0_602_lmmr,,
marin.tax_repartition_line_5096,marin.tax_1024_ish_4_0_602_lmmr,marin.account_602_49_001_lmmr,
marin.tax_repartition_line_5097,marin.tax_1025_income_tax_10_0_retention_leasing_lmmr,,
marin.tax_repartition_line_5098,marin.tax_1025_income_tax_10_0_retention_leasing_lmmr,,
marin.tax_repartition_line_5099,marin.tax_1025_income_tax_10_0_retention_leasing_lmmr,,
marin.tax_repartition_line_5100,marin.tax_1025_income_tax_10_0_retention_leasing_lmmr,,
marin.tax_repartition_line_5101,marin.tax_1026_vat_0_0_lmmr,,l10n_mx.l10n_mx_out_diot_0
marin.tax_repartition_line_5102,marin.tax_1026_vat_0_0_lmmr,marin.account_118_01_001_lmmr,
marin.tax_repartition_line_5103,marin.tax_1026_vat_0_0_lmmr,,
marin.tax_repartition_line_5104,marin.tax_1026_vat_0_0_lmmr,marin.account_118_01_001_lmmr,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5105,marin.tax_1027_vat_0_0_lmmr,,
marin.tax_repartition_line_5106,marin.tax_1027_vat_0_0_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5107,marin.tax_1027_vat_0_0_lmmr,,
marin.tax_repartition_line_5108,marin.tax_1027_vat_0_0_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5109,marin.tax_1028_vat_0_0_non_deductible_lmmr,,
marin.tax_repartition_line_5110,marin.tax_1028_vat_0_0_non_deductible_lmmr,marin.account_602_83_007_lmmr,
marin.tax_repartition_line_5111,marin.tax_1028_vat_0_0_non_deductible_lmmr,,
marin.tax_repartition_line_5112,marin.tax_1028_vat_0_0_non_deductible_lmmr,marin.account_602_83_007_lmmr,
marin.tax_repartition_line_5113,marin.tax_1029_vat_16_0_lmmr,,l10n_mx.l10n_mx_out_diot_16
marin.tax_repartition_line_5114,marin.tax_1029_vat_16_0_lmmr,marin.account_118_01_001_lmmr,
marin.tax_repartition_line_5115,marin.tax_1029_vat_16_0_lmmr,,
marin.tax_repartition_line_5116,marin.tax_1029_vat_16_0_lmmr,marin.account_118_01_001_lmmr,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5117,marin.tax_1030_vat_16_0_lmmr,,
marin.tax_repartition_line_5118,marin.tax_1030_vat_16_0_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5119,marin.tax_1030_vat_16_0_lmmr,,
marin.tax_repartition_line_5120,marin.tax_1030_vat_16_0_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5121,marin.tax_1031_vat_16_0_non_deductible_lmmr,,
marin.tax_repartition_line_5122,marin.tax_1031_vat_16_0_non_deductible_lmmr,marin.account_602_83_007_lmmr,
marin.tax_repartition_line_5123,marin.tax_1031_vat_16_0_non_deductible_lmmr,,
marin.tax_repartition_line_5124,marin.tax_1031_vat_16_0_non_deductible_lmmr,marin.account_602_83_007_lmmr,
marin.tax_repartition_line_5125,marin.tax_1032_vat_exempt_lmmr,,l10n_mx.l10n_mx_out_diot_exento
marin.tax_repartition_line_5126,marin.tax_1032_vat_exempt_lmmr,marin.account_118_01_001_lmmr,
marin.tax_repartition_line_5127,marin.tax_1032_vat_exempt_lmmr,,l10n_mx.l10n_mx_in_diot_exento
