id,company_id/id,currency_id/id,tag_ids/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance
marin.account_165_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Communications equipment FF,165.01.001,Fixed Assets,,Create in draft,,,,
marin.account_165_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Communications equipment NF,165.01.002,Fixed Assets,,Create in draft,,,,
marin.account_179_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_debit_balance_account,Brands and patents FF,179.01.001,Fixed Assets,,Create in draft,,,,
marin.account_201_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Domestic suppliers FF,201.01.001,Payable,True,No,,,,
marin.account_201_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Domestic suppliers NF,201.01.002,Payable,True,No,,,,
marin.account_201_02_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Foreign suppliers FF,201.02.001,Payable,True,No,,,,
marin.account_202_03_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Payments done by thirth party in name of the company FF,202.03.001,Current Liabilities,True,No,,,,
marin.account_202_03_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Bank BBVA CC 4406,202.03.002,Credit Card,,No,,,,
marin.account_202_03_003_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Bank BBVA revolving business credit,202.03.003,Credit Card,,No,,,,
marin.account_202_03_004_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Bank BBVA TN 5064,202.03.004,Credit Card,,No,,,,
marin.account_202_03_005_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Bank BBVA 1007025823,202.03.005,Credit Card,,No,,,,
marin.account_202_03_006_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Bank American Express Gold,202.03.006,Credit Card,,No,,,,
marin.account_202_03_007_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Bank American Express Platinum,202.03.007,Credit Card,,No,,,,
marin.account_202_03_099_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Returned bank transactions,202.03.099,Current Liabilities,True,No,,,,
marin.account_206_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Customer advance FF,206.01.001,Current Liabilities,True,No,,,,
marin.account_208_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Collected transfered VAT,208.01.001,Current Liabilities,,No,,,,
marin.account_208_02_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Collected transfered IEPS,208.02.001,Current Liabilities,,No,,,,
marin.account_209_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Uncollected transfered VAT,209.01.001,Current Liabilities,True,No,,,,
marin.account_209_02_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Uncollected transfered IEPS,209.02.001,Current Liabilities,True,No,,,,
marin.account_210_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Provision for wages and salaries payable,210.01.001,Current Liabilities,True,No,,,,
marin.account_213_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,VAT payable,213.01.001,Current Liabilities,,No,,,,
marin.account_213_03_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Income tax (ISR) payable,213.03.001,Current Liabilities,,No,,,,
marin.account_213_05_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,State and municipal taxes payable,213.05.001,Current Liabilities,,No,,,,
marin.account_216_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Income tax (ISR) withholdings from wages and salaries,216.01.001,Current Liabilities,True,No,,,,
marin.account_216_03_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Income tax (ISR) withholdings from leasing,216.03.001,Current Liabilities,,No,,,,
marin.account_216_03_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Uncollected Income tax (ISR) withholdings from leasing,216.03.002,Current Liabilities,True,No,,,,
marin.account_216_10_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,VAT retentions from leasing,216.10.002,Current Liabilities,,No,,,,
marin.account_216_10_010_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,VAT retentions,216.10.010,Current Liabilities,,No,,,,
marin.account_216_10_020_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,VAT retentions actually paid,216.10.020,Current Liabilities,,No,,,,
marin.account_216_11_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,IMSS withholdings from employees FF,216.11.001,Current Liabilities,,No,,,,
marin.account_252_07_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Long-term national mortgages payable,252.07.001,Non-current Liabilities,True,No,,,,
marin.account_302_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Equity FF,302.01.001,Equity,,No,,,,
marin.account_302_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Equity NF,302.01.002,Equity,,No,,,,
marin.account_304_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Profit from prior periods FF,304.01.001,Equity,,No,,,,
marin.account_304_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Profit from prior periods NF,304.01.002,Equity,,No,,,,
marin.account_304_02_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Loss from prior periods FF,304.02.001,Equity,,No,,,,
marin.account_304_02_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Loss from prior periods NF,304.02.002,Equity,,No,,,,
marin.account_305_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Net income FF,305.01.001,Equity,,No,,,,
marin.account_305_01_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Net income NF,305.01.002,Equity,,No,,,,
marin.account_305_02_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Net loss FF,305.02.001,Equity,,No,,,,
marin.account_305_02_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Net loss NF,305.02.002,Equity,,No,,,,
marin.account_401_01_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 16% FF,401.01.001,Income,,No,,,,
marin.account_401_04_001_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FF,401.04.001,Income,,No,,,,
marin.account_401_04_002_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% NF,401.04.002,Income,,No,,,,
marin.account_401_04_003_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - Discounts on sales NF due payment in FX,401.04.003,Income,,No,,,,
marin.account_401_04_004_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - Discounts on sales NF LMMG,401.04.004,Income,,No,True,,,
marin.account_401_04_005_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - Self cash trade --> self bank,401.04.005,Income,,No,,,,
marin.account_401_04_006_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - Multi company cash trade --> self bank,401.04.006,Income,,No,,,,
marin.account_401_04_007_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - self bank trade --> self cash to thirth parties,401.04.007,Income,,No,,,,
marin.account_401_04_008_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - self bank trade --> multi company cash to thirth parties,401.04.008,Income,,No,,,,
marin.account_401_04_009_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - Bank trade LMMG --> bank LMMR,401.04.009,Income,,No,,,,
marin.account_401_04_012_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - Bank trade GLMM --> bank LMMR,401.04.012,Income,,No,,,,
marin.account_401_04_013_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - without invoice without discount over sales NF,401.04.013,Income,,No,,,,
marin.account_401_04_014_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - without invoice with discount over sales NF,401.04.014,Income,,No,,,,
marin.account_401_04_015_lmmr,marin.company_lmmr,,l10n_mx.tag_credit_balance_account,Sales 0% FX - with invoice without discount on sales NF,401.04.015,Income,,No,,,,
