"id","category_id/id","unspsc_code_id/id","active","factor","rounding","uom_type","name"
"uom.product_uom_cubic_meter","uom.product_uom_categ_vol","product_unspsc.unspsc_code_MTQ","True","0.001","0.01","Bigger than the reference Unit of measure","m³"
"uom.product_uom_day","uom.uom_categ_wtime","product_unspsc.unspsc_code_E49","True","1.0","0.01","Reference Unit of measure for this category","Days"
"uom.product_uom_dozen","uom.product_uom_categ_unit","product_unspsc.unspsc_code_DPC","True","0.08333333333333333","0.01","Bigger than the reference Unit of measure","Dozens"
"uom.product_uom_floz","uom.product_uom_categ_vol","product_unspsc.unspsc_code_OZA","True","33.814","0.01","Smaller than the reference Unit of measure","fl oz (US)"
"uom.product_uom_foot","uom.uom_categ_length","product_unspsc.unspsc_code_FOT","True","3.28084","0.01","Smaller than the reference Unit of measure","ft"
"uom.product_uom_gal","uom.product_uom_categ_vol","product_unspsc.unspsc_code_A76","True","0.26417217685798894","0.01","Bigger than the reference Unit of measure","gal (US)"
"uom.product_uom_gram","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_GRM","True","1000.0","0.01","Smaller than the reference Unit of measure","gram"
"uom.product_uom_hour","uom.uom_categ_wtime","product_unspsc.unspsc_code_LH","True","8.0","0.01","Smaller than the reference Unit of measure","Hours"
"uom.product_uom_inch","uom.uom_categ_length","product_unspsc.unspsc_code_INH","True","39.3701","0.01","Smaller than the reference Unit of measure","in"
"uom.product_uom_kgm","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_KGM","True","1.0","0.01","Reference Unit of measure for this category","kilo"
"uom.product_uom_km","uom.uom_categ_length","product_unspsc.unspsc_code_KMT","True","0.001","0.01","Bigger than the reference Unit of measure","km"
"uom.product_uom_litre","uom.product_uom_categ_vol","product_unspsc.unspsc_code_LTR","True","1.0","0.01","Reference Unit of measure for this category","L"
"uom.product_uom_lb","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_LBR","True","2.20462","0.01","Smaller than the reference Unit of measure","lb"
"uom.product_uom_meter","uom.uom_categ_length","product_unspsc.unspsc_code_MTR","True","1.0","0.01","Reference Unit of measure for this category","m"
"uom.product_uom_mile","uom.uom_categ_length","product_unspsc.unspsc_code_M52","True","0.0006213727366498068","0.01","Bigger than the reference Unit of measure","mi"
"uom.product_uom_millimeter","uom.uom_categ_length","product_unspsc.unspsc_code_MMT","True","1000.0","0.01","Smaller than the reference Unit of measure","mm"
"uom.product_uom_oz","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_ONZ","True","35.274","0.01","Smaller than the reference Unit of measure","oz"
"uom.product_uom_qt","uom.product_uom_categ_vol","product_unspsc.unspsc_code_QTR","True","1.05669","0.01","Smaller than the reference Unit of measure","qt (US)"
"uom.product_uom_ton","uom.product_uom_categ_kgm","product_unspsc.unspsc_code_TNE","True","0.001","0.01","Bigger than the reference Unit of measure","t"
"uom.product_uom_unit","uom.product_uom_categ_unit","product_unspsc.unspsc_code_H87","True","1.0","0.01","Reference Unit of measure for this category","Units"
"uom.product_uom_yard","uom.uom_categ_length","product_unspsc.unspsc_code_YRD","True","1.09361","0.01","Smaller than the reference Unit of measure","yd"
