id,currency_id/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance,tag_ids/id,company_ids/id
account_1025_153_01_002,,Machinery and equipment NF,153.01.002,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1026_154_01_001,,"Automobiles, trucks, forklifts and trailers FF",154.01.001,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1027_154_01_002,,"Automobiles, trucks, forklifts and trailers NF",154.01.002,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_ammg,marin_data.company_cfmg,marin_data.company_society"
account_1028_155_01_001,,Furniture and office equipment FF,155.01.001,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1029_155_01_002,,Furniture and office equipment NF,155.01.002,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1030_156_01_001,,Computing equipment FF,156.01.001,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1031_160_01_001,,Other fixed assets FF,160.01.001,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1032_165_01_001,,Communications equipment FF,165.01.001,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1033_165_01_002,,Communications equipment NF,165.01.002,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1034_179_01_001,,Brands and patents FF,179.01.001,Fixed Assets,,Create in draft,,0.0,0.0,0.0,l10n_mx.tag_debit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1035_201_01_001,,Domestic suppliers FF,201.01.001,Payable,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1036_201_01_002,,Domestic supplier NF,201.01.002,Payable,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1037_201_02_001,,Foreign suppliers FF,201.02.001,Payable,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1038_202_03_001,,Payments done by thirth party in name of the company FF,202.03.001,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1039_202_03_099,,Returned bank transactions,202.03.099,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1040_206_01_001,,Customer advances FF,206.01.001,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1041_206_01_002,,Customer advances NF,206.01.002,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1042_206_05_001,,Customer collaterals FF,206.05.001,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1043_206_05_002,,Customer collaterals NF,206.05.002,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1044_208_01_001,,Collected transfered VAT,208.01.001,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1045_208_02_001,,Collected transfered IEPS,208.02.001,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1046_209_01_001,,Uncollected transfered VAT,209.01.001,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1047_209_02_001,,Uncollected transfered IEPS,209.02.001,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1048_210_01_001,,Provision for wages and salaries payable,210.01.001,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1049_213_01_001,,VAT payable,213.01.001,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1050_213_03_001,,Income tax (ISR) payable,213.03.001,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1051_213_05_001,,State and municipal taxes payable,213.05.001,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1052_216_01_001,,Income tax (ISR) retentions from wages and salaries,216.01.001,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1053_216_03_001,,Income tax (ISR) retentions from leasing,216.03.001,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1054_216_03_002,,Uncollected income tax (ISR) retentions from leasing,216.03.002,Current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1055_216_10_002,,VAT retentions from leasing,216.10.002,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1056_216_10_010,,VAT retentions,216.10.010,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1057_216_10_020,,VAT retentions actually paid,216.10.020,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1058_216_11_001,,IMSS retentions from employees FF,216.11.001,Current Liabilities,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1059_252_07_001,,Long-term national mortgages payable,252.07.001,Non-current Liabilities,True,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_society"
account_1060_302_01_001,,Equity FF,302.01.001,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1061_302_01_002,,Equity NF,302.01.002,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1062_303_01_001,,Customer collateral reserves FF,303.01.001,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1063_303_01_002,,Customer collateral reserves NF,303.01.002,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1064_304_01_001,,Profit from prior periods FF,304.01.001,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1065_304_01_002,,Profit from prior periods NF,304.01.002,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1066_304_02_001,,Loss from prior periods FF,304.02.001,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1067_304_02_002,,Loss from prior periods NF,304.02.002,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1068_305_01_001,,Net income FF,305.01.001,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1069_305_01_002,,Net income NF,305.01.002,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1070_305_02_001,,Net loss FF,305.02.001,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1071_305_02_002,,Net loss NF,305.02.002,Equity,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1072_401_01_001,,Sales 16% FF,401.01.001,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1073_401_04_001,,Sales 0% FF,401.04.001,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
account_1074_401_04_002,,Sales 0% NF,401.04.002,Income,,No,,0.0,0.0,0.0,l10n_mx.tag_credit_balance_account,"marin_data.company_lmmg,marin_data.company_lmmr,marin_data.company_tjgl,marin_data.company_society"
