"id","name","active","applicability","color","tax_negate","country_id/id"
"account_account_tag_25","'-DIOT: 0% NO ACREDITABLE","True","Taxes","0","","base.mx"
"account_account_tag_26","'+DIOT: 0% NO ACREDITABLE","True","Taxes","0","","base.mx"
