id,name,vehicle_type,transmission,default_fuel_type,doors,electric_assistance,horsepower,active,category_id/id,brand_id/id
vehicle_model_101,32-8FG25,Car,Automatic,LPG,0,,0,True,marin_data.vehicle_model_category_1,fleet.brand_toyota
vehicle_model_102,32-8FG30,Car,Automatic,LPG,0,,0,True,marin_data.vehicle_model_category_1,fleet.brand_toyota
vehicle_model_103,A4,Car,Automatic,Gasoline,4,,0,True,marin_data.vehicle_model_category_7,fleet.brand_audi
vehicle_model_104,Acterra,Car,Manual,Diesel,0,,0,True,marin_data.vehicle_model_category_6,fleet.brand_mercedes
vehicle_model_105,Aveo,Car,Manual,Gasoline,4,,0,True,marin_data.vehicle_model_category_7,fleet.brand_chevrolet
vehicle_model_106,Canyon,Car,Automatic,Gasoline,4,,0,True,marin_data.vehicle_model_category_4,marin_data.vehicle_brand_gmc
vehicle_model_107,Cascadia,Car,Manual,Diesel,2,,0,True,marin_data.vehicle_model_category_6,marin_data.vehicle_brand_freightliner
vehicle_model_108,Cayenne,Car,Automatic,Gasoline,0,,0,True,marin_data.vehicle_model_category_8,fleet.brand_porsche
vehicle_model_109,Chasis cabina,Car,Manual,Diesel,2,,0,True,marin_data.vehicle_model_category_6,marin_data.vehicle_brand_kenworth
vehicle_model_110,Cheyenne cabina regular 4x4 gasolina TA,Car,Automatic,Gasoline,2,,0,True,marin_data.vehicle_model_category_3,fleet.brand_chevrolet
vehicle_model_111,Class GLA,Car,Automatic,Gasoline,4,,0,True,marin_data.vehicle_model_category_7,fleet.brand_mercedes
vehicle_model_112,Class GLK 300,Car,Automatic,Gasoline,4,,0,True,marin_data.vehicle_model_category_8,fleet.brand_mercedes
