id,name,type,code,sequence,color,active,show_on_dashboard,refund_sequence,payment_sequence,x_treatment,company_id/id,currency_id/id,default_account_id/id,default_payable_account_id/id,default_receivable_account_id/id,default_refund_account_id/id,loss_account_id/id,profit_account_id/id,suspense_account_id/id,account_control_ids/id,user_can_access_ids/id,journal_group_ids/id
journal_cll01_lmmr,Customers collaterals FF,Miscellaneous,CLL01,76,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_206_05_001,marin_data.account_303_01_001",,
journal_cll02_lmmr,Customers collaterals NF,Miscellaneous,CLL02,77,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_206_05_002,marin_data.account_303_01_002",,
journal_eqc01_lmmr,Computing equipment FF,Miscellaneous,EQC01,80,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_156_01_001,marin_data.account_504_11_001",,
journal_eqt01_lmmr,"Automobiles, trucks, forklifts and trailers FF",Miscellaneous,EQT01,78,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_154_01_001,marin_data.account_504_09_001",,
journal_eqt02_lmmr,"Automobiles, trucks, forklifts and trailers NF",Miscellaneous,EQT02,79,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,,,,,,,,,,marin_data.journal_group_2
journal_eqtl1_lmmr,Communications equipment FF,Miscellaneous,EQTL1,81,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_165_01_001,marin_data.account_504_12_001",,
journal_exc01_lmmr,Exchange difference FF,Miscellaneous,EXC01,88,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_118_01_001,marin_data.account_118_03_001,marin_data.account_119_01_001,marin_data.account_119_01_002,marin_data.account_119_03_001,marin_data.account_208_02_001,marin_data.account_209_01_001,marin_data.account_209_02_001,marin_data.account_216_03_002,marin_data.account_602_49_001,marin_data.account_899_01_099",,
journal_inc01_lmmr,Uncollectible debts FF,Miscellaneous,INC01,89,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_105_01_001,marin_data.account_602_84_003,marin_data.account_602_84_005",,
journal_inc02_lmmr,Uncollectible debts NF,Miscellaneous,INC02,128,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_105_01_002,marin_data.account_602_84_004,marin_data.account_602_84_006,marin_data.account_602_84_008",,marin_data.journal_group_2
journal_maq01_lmmr,Machinery and equipment FF,Miscellaneous,MAQ01,82,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_153_01_001,marin_data.account_504_08_001",,
journal_maq02_lmmr,Machinery and equipment NF,Miscellaneous,MAQ02,83,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,,,,,,,,,,marin_data.journal_group_2
journal_moq01_lmmr,Furniture and office equipment FF,Miscellaneous,MOQ01,84,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_155_01_001,marin_data.account_504_10_001",,
journal_moq02_lmmr,Furniture and office equipment NF,Miscellaneous,MOQ02,85,0,True,,,,Not Fiscal real,marin_data.company_lmmr,,,,,,,,,,,marin_data.journal_group_2
journal_msc01_lmmr,Miscellaneous operations FF,Miscellaneous,MSC01,130,0,True,,,,Fiscal real,marin_data.company_lmmr,,,,,,,,,"marin_data.account_102_01_001_lmmr,marin_data.account_102_01_002_lmmr,marin_data.account_105_01_001,marin_data.account_202_03_002_lmmr,marin_data.account_202_03_005_lmmr,marin_data.account_202_03_006_lmmr,marin_data.account_202_03_007_lmmr,marin_data.account_302_01_001,marin_data.account_704_23_001",,
