id,name,company_id/id,warehouse_id/id,journal_id/id,invoice_journal_id/id,use_pricelist,restrict_price_control,pricelist_id/id,available_pricelist_ids/id,crm_team_id/id,picking_type_id/id,down_payment_product_id/id,picking_policy,iface_tax_included,active,auto_validate_terminal_payment,module_pos_hr,module_pos_discount,manual_discount,trusted_config_ids/id,payment_method_ids/id
pos_config_101,TPV CDG,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.journal_tpv00_lmmr,marin_data.journal_cn_lmmr,True,True,marin_data.product_pricelist_101,marin_data.product_pricelist_101,marin_data.team_lmmr_1,marin_data.picking_type_1048,pos_sale.default_downpayment_product,When all products are ready,Tax-Included Price,True,True,True,,,,marin_data.pos_payment_method_101
pos_config_102,TPV SJN,marin_data.company_lmmr,marin_data.warehouse_103,marin_data.journal_tpv02_lmmr,marin_data.journal_cn_lmmr,True,True,marin_data.product_pricelist_101,marin_data.product_pricelist_101,marin_data.team_lmmr_2,marin_data.picking_type_1036,pos_sale.default_downpayment_product,When all products are ready,Tax-Included Price,True,True,True,,,,marin_data.pos_payment_method_102
pos_config_103,TPV BAL,marin_data.company_lmmr,marin_data.warehouse_102,marin_data.journal_tpv01_lmmr,marin_data.journal_cn_lmmr,True,True,marin_data.product_pricelist_101,marin_data.product_pricelist_101,marin_data.team_lmmr_3,marin_data.picking_type_1024,pos_sale.default_downpayment_product,When all products are ready,Tax-Included Price,True,True,True,,,,marin_data.pos_payment_method_103
