id,name,is_storable,type,standard_price,list_price,volume,weight,base_unit_count,barcode,x_dose_x_ha,active,available_in_pos,can_be_expensed,purchase_ok,sale_ok,is_published,allow_out_of_stock_order,tracking,invoice_policy,bill_policy,manufacturer_pref,uom_id/id,categ_id/id,unspsc_code_id/id,manufacturer_id/id,supplier_taxes_id/id,product_tag_ids/id,pos_categ_ids/id
product_template_1409,Cannon 0.500kg,True,Goods,1.0,1.0,0.0,0.5,1.0,,0.0,,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,marin_data.uom_148,marin_data.product_category_145,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_agricam,,,
product_template_1410,Cantus 1Kg,True,Goods,1.0,2700.0,0.001,1.0,1.0,,0.0,True,,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_153,product_unspsc.unspsc_code_10191509,marin_data.manufacturer_basf,,marin_data.product_tag_15,
product_template_1411,Caporal 50 PH 1kg,True,Goods,109.05,200.0,0.001,1.0,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_agricam,,marin_data.product_tag_18,marin_data.pos_category_109
product_template_1412,Captan Ultra 1kg,True,Goods,135.0,200.0,0.001,1.0,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_upl,,marin_data.product_tag_18,marin_data.pos_category_109
product_template_1413,Captan Ultra 1x20kg,True,Goods,1.0,945.0,0.0,20.0,1.0,,0.0,,True,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,marin_data.uom_163,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_upl,,,
product_template_1414,Captip XM 50 1kg,True,Goods,1.0,1.0,0.0,1.0,1.0,,0.0,,,,True,True,,,By Quantity,Ordered quantities,On ordered quantities,,uom.product_uom_kgm,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_agroterrum,,marin_data.product_tag_18,
product_template_1415,Captive XM 80 0.750kg,True,Goods,82.5,235.0,0.0,0.75,1.0,,0.0,True,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_152,marin_data.product_category_157,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_xiuman,,marin_data.product_tag_18,marin_data.pos_category_109
product_template_1416,Carbendazim 80WG 1x25kg,True,Goods,4875.0,1.0,0.0,0.0,1.0,,0.0,True,,,True,,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_164,marin_data.product_category_125,product_unspsc.unspsc_code_10171702,marin_data.manufacturer_agroterrum,,,
product_template_1417,Carbon Boost 0.100L,True,Goods,1.0,0.0,0.0,0.1,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_108,marin_data.product_category_160,product_unspsc.unspsc_code_10171500,marin_data.manufacturer_shokubutsu,,,
product_template_1418,Carbon Boost 0.500L,True,Goods,1.0,700.0,0.0,0.55,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_117,marin_data.product_category_160,product_unspsc.unspsc_code_10171500,marin_data.manufacturer_shokubutsu,,,
product_template_1419,Carbon Boost 0.950L,True,Goods,1.0,1650.0,0.0,1.0,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_120,marin_data.product_category_160,product_unspsc.unspsc_code_10171500,marin_data.manufacturer_shokubutsu,,,
product_template_1420,Carbon Boost 1x10L,True,Goods,1.0,0.0,0.0,11.0,1.0,,0.0,,True,,True,True,,,By Lots,Ordered quantities,On ordered quantities,,marin_data.uom_128,marin_data.product_category_160,product_unspsc.unspsc_code_10171500,marin_data.manufacturer_shokubutsu,,,
