id,tax_id/id,account_id/id,tag_ids/id
marin.tax_repartition_line_5118,marin.tax_1030_vat_0_0_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5120,marin.tax_1030_vat_0_0_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5121,marin.tax_1031_vat_0_0_non_deductible_lmmr,,marin.account_account_tag_26
marin.tax_repartition_line_5122,marin.tax_1031_vat_0_0_non_deductible_lmmr,marin.account_602_83_007_lmmr,
marin.tax_repartition_line_5124,marin.tax_1031_vat_0_0_non_deductible_lmmr,marin.account_602_83_007_lmmr,marin.account_account_tag_25
marin.tax_repartition_line_5129,marin.tax_1033_vat_16_0_lmmr,,l10n_mx.l10n_mx_out_diot_16
marin.tax_repartition_line_5130,marin.tax_1033_vat_16_0_lmmr,marin.account_118_01_001_lmmr,
marin.tax_repartition_line_5132,marin.tax_1033_vat_16_0_lmmr,marin.account_118_01_001_lmmr,l10n_mx.l10n_mx_out_diot_refunds
marin.tax_repartition_line_5134,marin.tax_1034_vat_16_0_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5136,marin.tax_1034_vat_16_0_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5137,marin.tax_1035_vat_16_0_non_deductible_lmmr,,l10n_mx.l10n_mx_out_diot_16_no_acreditable
marin.tax_repartition_line_5138,marin.tax_1035_vat_16_0_non_deductible_lmmr,marin.account_602_83_007_lmmr,
marin.tax_repartition_line_5140,marin.tax_1035_vat_16_0_non_deductible_lmmr,marin.account_602_83_007_lmmr,l10n_mx.l10n_mx_in_diot_16_no_acreditable
marin.tax_repartition_line_5145,marin.tax_1037_vat_exempt_lmmr,,l10n_mx.l10n_mx_out_diot_exento
marin.tax_repartition_line_5146,marin.tax_1037_vat_exempt_lmmr,marin.account_118_01_001_lmmr,
marin.tax_repartition_line_5147,marin.tax_1037_vat_exempt_lmmr,,l10n_mx.l10n_mx_in_diot_exento
marin.tax_repartition_line_5148,marin.tax_1037_vat_exempt_lmmr,marin.account_118_01_001_lmmr,
marin.tax_repartition_line_5150,marin.tax_1038_vat_exempt_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5152,marin.tax_1038_vat_exempt_lmmr,marin.account_208_01_001_lmmr,
marin.tax_repartition_line_5154,marin.tax_1039_dsa_5_0_601_lmmg,marin.account_601_52_001_lmmg,
marin.tax_repartition_line_5156,marin.tax_1039_dsa_5_0_601_lmmg,marin.account_601_52_001_lmmg,
marin.tax_repartition_line_5158,marin.tax_1040_dsa_5_0_602_lmmg,marin.account_602_52_001_lmmg,
marin.tax_repartition_line_5160,marin.tax_1040_dsa_5_0_602_lmmg,marin.account_602_52_001_lmmg,
marin.tax_repartition_line_5162,marin.tax_1041_ieps_26_5_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5164,marin.tax_1041_ieps_26_5_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5166,marin.tax_1042_ieps_3_0_telecom_602_lmmg,marin.account_602_50_001_lmmg,
marin.tax_repartition_line_5168,marin.tax_1042_ieps_3_0_telecom_602_lmmg,marin.account_602_50_001_lmmg,
marin.tax_repartition_line_5170,marin.tax_1043_ieps_53_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5172,marin.tax_1043_ieps_53_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5174,marin.tax_1044_ieps_8_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5176,marin.tax_1044_ieps_8_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5178,marin.tax_1045_ieps_0_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5180,marin.tax_1045_ieps_0_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5182,marin.tax_1046_ieps_6_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5184,marin.tax_1046_ieps_6_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5186,marin.tax_1047_ieps_6_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5188,marin.tax_1047_ieps_6_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5190,marin.tax_1048_ieps_7_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5192,marin.tax_1048_ieps_7_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5194,marin.tax_1049_ieps_7_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5196,marin.tax_1049_ieps_7_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5198,marin.tax_1050_ieps_9_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5200,marin.tax_1050_ieps_9_0_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5202,marin.tax_1051_ieps_9_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5204,marin.tax_1051_ieps_9_0_lmmg,marin.account_208_02_001_lmmg,
marin.tax_repartition_line_5206,marin.tax_1052_ieps_exempt_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5208,marin.tax_1052_ieps_exempt_lmmg,marin.account_118_03_001_lmmg,
marin.tax_repartition_line_5210,marin.tax_1053_ish_2_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5212,marin.tax_1053_ish_2_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5214,marin.tax_1054_ish_3_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5216,marin.tax_1054_ish_3_0_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5218,marin.tax_1055_ish_3_5_602_lmmg,marin.account_602_49_001_lmmg,
marin.tax_repartition_line_5220,marin.tax_1055_ish_3_5_602_lmmg,marin.account_602_49_001_lmmg,
