id,name,qty,purchase,sales,product_id/id,package_type_id/id
marin.product_packaging_1001,12x1,12.0,True,True,marin.product_product_1142,marin.stock_package_type_8
marin.product_packaging_1002,12x1,12.0,True,True,marin.product_product_1143,marin.stock_package_type_8
marin.product_packaging_1003,2x1,2.0,True,True,marin.product_product_1144,marin.stock_package_type_23
marin.product_packaging_1004,12x1,12.0,True,True,marin.product_product_1145,marin.stock_package_type_8
marin.product_packaging_1005,24x1,24.0,True,True,marin.product_product_1151,marin.stock_package_type_20
marin.product_packaging_1006,10x1,10.0,True,True,marin.product_product_1156,marin.stock_package_type_4
marin.product_packaging_1007,20x1,20.0,True,True,marin.product_product_1157,marin.stock_package_type_15
marin.product_packaging_1008,60x1,60.0,True,True,marin.product_product_1160,marin.stock_package_type_27
marin.product_packaging_1009,12x1,12.0,True,True,marin.product_product_1164,marin.stock_package_type_8
marin.product_packaging_1010,12x1,12.0,True,True,marin.product_product_1165,marin.stock_package_type_7
marin.product_packaging_1011,12x1,12.0,True,True,marin.product_product_1169,marin.stock_package_type_8
marin.product_packaging_1012,1x20,1.0,True,True,marin.product_product_1170,marin.stock_package_type_37
marin.product_packaging_1013,12x1,12.0,True,True,marin.product_product_1172,marin.stock_package_type_8
marin.product_packaging_1014,1x20,1.0,True,True,marin.product_product_1173,marin.stock_package_type_37
marin.product_packaging_1015,20x1,20.0,True,True,marin.product_product_1177,marin.stock_package_type_15
marin.product_packaging_1016,12x1,12.0,True,True,marin.product_product_1178,marin.stock_package_type_8
marin.product_packaging_1017,50kg,0.05,True,True,marin.product_product_1183,marin.stock_package_type_43
marin.product_packaging_1018,50kg,0.05,True,True,marin.product_product_1184,marin.stock_package_type_43
marin.product_packaging_1019,50kg,0.05,True,True,marin.product_product_1185,marin.stock_package_type_43
marin.product_packaging_1020,50kg,0.05,True,True,marin.product_product_1186,marin.stock_package_type_43
marin.product_packaging_1021,12x1,12.0,True,True,marin.product_product_1189,marin.stock_package_type_8
marin.product_packaging_1022,12x1,12.0,True,True,marin.product_product_1193,marin.stock_package_type_8
marin.product_packaging_1023,1x.16,1.0,True,True,marin.product_product_1194,
marin.product_packaging_1024,1x3.2,1.0,True,True,marin.product_product_1195,
marin.product_packaging_1025,12x1,12.0,True,True,marin.product_product_1198,marin.stock_package_type_8
marin.product_packaging_1026,12x1,12.0,True,True,marin.product_product_1201,marin.stock_package_type_8
marin.product_packaging_1027,2x1,2.0,True,True,marin.product_product_1202,marin.stock_package_type_23
marin.product_packaging_1028,6x1,6.0,True,True,marin.product_product_1205,marin.stock_package_type_31
marin.product_packaging_1029,12x1,12.0,True,True,marin.product_product_1206,marin.stock_package_type_8
marin.product_packaging_1030,50kg,0.05,True,True,marin.product_product_1211,marin.stock_package_type_43
marin.product_packaging_1031,12x1,12.0,True,True,marin.product_product_1213,marin.stock_package_type_8
marin.product_packaging_1032,20x1,20.0,True,True,marin.product_product_1219,marin.stock_package_type_15
marin.product_packaging_1033,6x1,6.0,True,True,marin.product_product_1220,marin.stock_package_type_29
marin.product_packaging_1034,12x1,12.0,True,True,marin.product_product_1221,marin.stock_package_type_8
marin.product_packaging_1035,20x1,20.0,True,True,marin.product_product_1222,marin.stock_package_type_19
marin.product_packaging_1036,12x1,12.0,True,True,marin.product_product_1223,marin.stock_package_type_8
marin.product_packaging_1037,20x1,20.0,True,True,marin.product_product_1227,marin.stock_package_type_18
marin.product_packaging_1038,12x1,12.0,True,True,marin.product_product_1229,marin.stock_package_type_8
marin.product_packaging_1039,12x1,12.0,True,True,marin.product_product_1230,marin.stock_package_type_8
marin.product_packaging_1040,4x1,4.0,True,True,marin.product_product_1231,marin.stock_package_type_25
marin.product_packaging_1041,12x1,1.0,True,True,marin.product_product_1232,marin.stock_package_type_8
marin.product_packaging_1042,12x1,12.0,True,True,marin.product_product_1233,marin.stock_package_type_8
marin.product_packaging_1043,12x1,12.0,True,True,marin.product_product_1237,marin.stock_package_type_29
marin.product_packaging_1044,12x1,12.0,True,True,marin.product_product_1238,marin.stock_package_type_8
marin.product_packaging_1045,12x1,12.0,True,True,marin.product_product_1239,marin.stock_package_type_8
marin.product_packaging_1046,21x1,21.0,True,True,marin.product_product_1256,marin.stock_package_type_19
marin.product_packaging_1047,15x1,15.0,True,True,marin.product_product_1257,marin.stock_package_type_6
marin.product_packaging_1048,10x1,10.0,True,True,marin.product_product_1258,marin.stock_package_type_2
marin.product_packaging_1049,1x20,1.0,True,True,marin.product_product_1274,marin.stock_package_type_37
marin.product_packaging_1050,12x1,12.0,True,True,marin.product_product_1275,marin.stock_package_type_8
marin.product_packaging_1051,12x1,12.0,True,True,marin.product_product_1284,marin.stock_package_type_8
marin.product_packaging_1052,12x1,12.0,True,True,marin.product_product_1287,marin.stock_package_type_8
marin.product_packaging_1053,12x1,12.0,True,True,marin.product_product_1289,marin.stock_package_type_8
marin.product_packaging_1054,1x20,1.0,True,True,marin.product_product_1293,marin.stock_package_type_37
marin.product_packaging_1055,12x1,12.0,True,True,marin.product_product_1300,marin.stock_package_type_8
marin.product_packaging_1056,12x1,12.0,True,True,marin.product_product_1310,marin.stock_package_type_8
marin.product_packaging_1057,1x20,1.0,True,True,marin.product_product_1321,marin.stock_package_type_37
marin.product_packaging_1058,12x1,12.0,True,True,marin.product_product_1323,marin.stock_package_type_8
marin.product_packaging_1059,12x1,12.0,True,True,marin.product_product_1324,marin.stock_package_type_8
marin.product_packaging_1060,24x1,24.0,True,True,marin.product_product_1328,marin.stock_package_type_12
marin.product_packaging_1061,12x1,12.0,True,True,marin.product_product_1329,marin.stock_package_type_12
marin.product_packaging_1062,50kg,0.05,True,True,marin.product_product_1335,marin.stock_package_type_43
marin.product_packaging_1063,12x1,12.0,True,True,marin.product_product_1340,marin.stock_package_type_8
marin.product_packaging_1064,10x1,10.0,True,True,marin.product_product_1343,marin.stock_package_type_4
marin.product_packaging_1065,12x1,12.0,True,True,marin.product_product_1349,marin.stock_package_type_8
marin.product_packaging_1066,1x20,1.0,True,True,marin.product_product_1350,marin.stock_package_type_37
marin.product_packaging_1067,12x1,12.0,True,True,marin.product_product_1353,marin.stock_package_type_8
marin.product_packaging_1068,12x1,12.0,True,True,marin.product_product_1354,marin.stock_package_type_8
marin.product_packaging_1069,12x1,12.0,True,True,marin.product_product_1359,marin.stock_package_type_11
marin.product_packaging_1070,12x1,12.0,True,True,marin.product_product_1360,marin.stock_package_type_33
