id,company_id/id,warehouse_id/id,default_location_src_id/id,default_location_dest_id/id,name,code,sequence_code,barcode,reservation_method,active,create_backorder,use_existing_lots,use_create_lots,sequence,color
picking_type_5037,marin_data.company_lmmr,marin_data.warehouse_103,marin_data.stock_location_1018,marin_data.stock_location_5031,Interwarehouse SJN-CDG,Delivery,INTWH,SJN-INTWH-CDG,At Confirmation,True,Never,True,,400,5
picking_type_5038,marin_data.company_lmmr,marin_data.warehouse_103,marin_data.stock_location_1018,marin_data.stock_location_5032,Interwarehouse SJN-LOM,Delivery,INTWH,SJN-INTWH-LOM,At Confirmation,True,Never,True,,400,5
picking_type_5039,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5011,Interwarehouse CDG-HMT,Delivery,INTWH,CDG-INTWH-HMT,At Confirmation,True,Never,True,,400,5
picking_type_5040,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5010,Interwarehouse CDG-BAL,Delivery,INTWH,CDG-INTWH-BAL,At Confirmation,True,Never,True,,400,5
picking_type_5041,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5012,Interwarehouse CDG-LOM,Delivery,INTWH,CDG-INTWH-LOM,At Confirmation,True,Never,True,,400,5
picking_type_5042,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5013,Interwarehouse CDG-MICH,Delivery,INTWH,CDG-INTWH-MICH,At Confirmation,True,Never,True,,400,5
picking_type_5043,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5014,Interwarehouse CDG-MOCH,Delivery,INTWH,CDG-INTWH-MOCH,At Confirmation,True,Never,True,,400,5
picking_type_5044,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5015,Interwarehouse CDG-OBR,Delivery,INTWH,CDG-INTWH-OBR,At Confirmation,True,Never,True,,400,5
picking_type_5045,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5016,Interwarehouse CDG-SALT,Delivery,INTWH,CDG-INTWH-SALT,At Confirmation,True,Never,True,,400,5
picking_type_5046,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5017,Interwarehouse CDG-SJN,Delivery,INTWH,CDG-INTWH-SJN,At Confirmation,True,Never,True,,400,5
picking_type_5047,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5018,Interwarehouse CDG-SNT,Delivery,INTWH,CDG-INTWH-SNT,At Confirmation,True,Never,True,,400,5
picking_type_5048,marin_data.company_lmmr,marin_data.warehouse_105,marin_data.stock_location_1034,marin_data.stock_location_5028,Interwarehouse OBR-SALT,Delivery,INTWH,OBR-INTWH-SALT,At Confirmation,True,Never,True,,400,5
picking_type_5049,marin_data.company_lmmr,marin_data.warehouse_105,marin_data.stock_location_1034,marin_data.stock_location_5027,Interwarehouse OBR-MOCH,Delivery,INTWH,OBR-INTWH-MOCH,At Confirmation,,Never,True,,400,5
picking_type_5050,marin_data.company_lmmr,marin_data.warehouse_105,marin_data.stock_location_1034,marin_data.stock_location_5026,Interwarehouse OBR-CDG,Delivery,INTWH,OBR-INTWH-CDG,At Confirmation,True,Never,True,,400,5
picking_type_5051,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,marin_data.stock_location_5021,Interwarehouse LOM-CDG,Delivery,INTWH,LOM-INTWH-CDG,At Confirmation,True,Never,True,,400,5
picking_type_5052,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,marin_data.stock_location_5022,Interwarehouse LOM-SJN,Delivery,INTWH,LOM-INTWH-SJN,At Confirmation,True,Never,True,,400,5
picking_type_5053,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,marin_data.stock_location_5023,Interwarehouse MICH-CDG,Delivery,INTWH,MICH-INTWH-CDG,At Confirmation,,Never,True,,400,5
picking_type_5054,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,marin_data.stock_location_5029,Interwarehouse SALT-CDG,Delivery,INTWH,SALT-INTWH-CDG,At Confirmation,,Never,True,,400,5
picking_type_5055,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,marin_data.stock_location_5025,Interwarehouse MOCH-OBR,Delivery,INTWH,MOCH-INTWH-OBR,At Confirmation,,Never,True,,400,5
picking_type_5056,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,marin_data.stock_location_5024,Interwarehouse MOCH-CDG,Delivery,INTWH,MOCH-INTWH-CDG,At Confirmation,,Never,True,,400,5
picking_type_5057,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,marin_data.stock_location_5019,Interwarehouse HMT-CDG,Delivery,INTWH,HMT-INTWH-CDG,At Confirmation,,Never,True,,400,5
picking_type_5058,marin_data.company_lmmr,marin_data.warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_5039,Ship orders BAL,Delivery,SHIP,BAL-SHIP,Manually,,Always,True,,150,10
picking_type_5059,marin_data.company_lmmr,marin_data.warehouse_103,marin_data.stock_location_1018,marin_data.stock_location_5047,Ship orders SJN,Delivery,SHIP,SJN-SHIP,Manually,,Always,True,,150,10
picking_type_5060,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5040,Ship orders CDG,Delivery,SHIP,CDG-SHIP,Manually,True,Always,True,,150,10
picking_type_5061,marin_data.company_lmmr,marin_data.warehouse_105,marin_data.stock_location_1034,marin_data.stock_location_5045,Ship orders OBR,Delivery,SHIP,OBR-SHIP,Manually,,Always,True,,150,10
picking_type_5062,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,marin_data.stock_location_5042,Ship orders LOM,Delivery,SHIP,LOM-SHIP,Manually,,Always,True,,150,10
picking_type_5063,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,marin_data.stock_location_5043,Ship orders MICH,Delivery,SHIP,MICH-SHIP,Manually,,Always,True,,150,10
picking_type_5064,marin_data.company_lmmr,marin_data.warehouse_108,marin_data.stock_location_1058,marin_data.stock_location_5046,Ship orders SALT,Delivery,SHIP,SALT-SHIP,Manually,,Always,True,,150,10
picking_type_5065,marin_data.company_lmmr,marin_data.warehouse_109,marin_data.stock_location_1066,marin_data.stock_location_5044,Ship orders MOCH,Delivery,SHIP,MOCH-SHIP,Manually,,Always,True,,150,10
picking_type_5066,marin_data.company_lmmr,marin_data.warehouse_110,marin_data.stock_location_1074,marin_data.stock_location_5041,Ship orders HMT,Delivery,SHIP,HMT-SHIP,Manually,,Always,True,,150,10
picking_type_5067,marin_data.company_lmmr,marin_data.warehouse_104,marin_data.stock_location_1026,marin_data.stock_location_5034,Ship orders 3P CDG,Delivery,SHIP3P,CDG-SHIP3P,Manually,True,Always,True,,150,10
