id,company_id/id,warehouse_id/id,default_location_src_id/id,default_location_dest_id/id,name,code,sequence_code,barcode,reservation_method,active,create_backorder,use_existing_lots,use_create_lots,sequence,color
picking_type_1094,marin_data.company_lmmr,marin_data.warehouse_105,marin_data.stock_location_1040,marin_data.stock_location_1034,Store Finished Product,Internal Transfer,SFP,OBR-SFP,At Confirmation,,Ask,True,True,1000,0
picking_type_1095,marin_data.company_lmmr,marin_data.warehouse_105,marin_data.stock_location_1034,marin_data.stock_location_1034,Manufacturing,Manufacturing,MO,OBR-MANUF,At Confirmation,,Always,True,True,600,0
picking_type_1096,marin_data.company_lmmr,marin_data.warehouse_105,marin_data.stock_location_1034,stock.stock_location_customers,PoS Orders,Delivery,POS,OBR-POS,At Confirmation,,Always,True,,200,10
picking_type_1097,marin_data.company_lmmr,marin_data.warehouse_106,stock.stock_location_suppliers,marin_data.stock_location_1042,Receipts LOM,Receipt,IN,LOM-RECEIPTS,At Confirmation,True,Always,True,True,300,11
picking_type_1098,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,stock.stock_location_customers,Deliveries LOM,Delivery,OUT,LOM-DELIVERY,Manually,True,Always,True,,100,10
picking_type_1099,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,marin_data.stock_location_1046,Pick,Internal Transfer,PICK,LOM-PICK,At Confirmation,,Ask,True,,700,0
picking_type_1100,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1046,marin_data.stock_location_1042,Pack,Internal Transfer,PACK,LOM-PACK,At Confirmation,,Ask,True,,900,0
picking_type_1101,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1043,marin_data.stock_location_1044,Quality Control,Internal Transfer,QC,LOMQC,At Confirmation,,Ask,True,,1600,0
picking_type_1102,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1044,marin_data.stock_location_1042,Storage,Internal Transfer,STOR,LOMSTOR,At Confirmation,,Ask,True,,1700,0
picking_type_1103,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,marin_data.stock_location_1042,Internal Transfers LOM,Internal Transfer,INT,LOM-INTERNAL,At Confirmation,,Never,True,,350,5
picking_type_1104,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1043,marin_data.stock_location_1045,Cross Dock,Internal Transfer,XD,LOMXD,At Confirmation,,Ask,True,,1800,0
picking_type_1105,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,marin_data.stock_location_1047,Pick Components,Internal Transfer,PC,LOM-PC,At Confirmation,,Ask,True,,800,0
picking_type_1106,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1048,marin_data.stock_location_1042,Store Finished Product,Internal Transfer,SFP,LOM-SFP,At Confirmation,,Ask,True,True,1000,0
picking_type_1107,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,marin_data.stock_location_1042,Manufacturing,Manufacturing,MO,LOM-MANUF,At Confirmation,,Always,True,True,600,0
picking_type_1108,marin_data.company_lmmr,marin_data.warehouse_106,marin_data.stock_location_1042,stock.stock_location_customers,PoS Orders,Delivery,POS,LOM-POS,At Confirmation,,Always,True,,200,10
picking_type_1109,marin_data.company_lmmr,marin_data.warehouse_107,stock.stock_location_suppliers,marin_data.stock_location_1050,Receipts MICH,Receipt,IN,MICH-RECEIPTS,At Confirmation,,Always,True,True,300,11
picking_type_1110,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,stock.stock_location_customers,Deliveries MICH,Delivery,OUT,MICH-DELIVERY,Manually,,Always,True,,100,10
picking_type_1111,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,marin_data.stock_location_1054,Pick,Internal Transfer,PICK,MICH-PICK,At Confirmation,,Ask,True,,700,0
picking_type_1112,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1054,marin_data.stock_location_1050,Pack,Internal Transfer,PACK,MICH-PACK,At Confirmation,,Ask,True,,900,0
picking_type_1113,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1051,marin_data.stock_location_1052,Quality Control,Internal Transfer,QC,MICHQC,At Confirmation,,Ask,True,,1600,0
picking_type_1114,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1052,marin_data.stock_location_1050,Storage,Internal Transfer,STOR,MICHSTOR,At Confirmation,,Ask,True,,1700,0
picking_type_1115,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,marin_data.stock_location_1050,Internal Transfers MICH,Internal Transfer,INT,MICH-INTERNAL,At Confirmation,,Never,True,,350,5
picking_type_1116,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1051,marin_data.stock_location_1053,Cross Dock,Internal Transfer,XD,MICHXD,At Confirmation,,Ask,True,,1800,0
picking_type_1117,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,marin_data.stock_location_1055,Pick Components,Internal Transfer,PC,MICH-PC,At Confirmation,,Ask,True,,800,0
picking_type_1118,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1056,marin_data.stock_location_1050,Store Finished Product,Internal Transfer,SFP,MICH-SFP,At Confirmation,,Ask,True,True,1000,0
picking_type_1119,marin_data.company_lmmr,marin_data.warehouse_107,marin_data.stock_location_1050,marin_data.stock_location_1050,Manufacturing,Manufacturing,MO,MICH-MANUF,At Confirmation,,Always,True,True,600,0
