id,name,invoice_label,type_tax_use,amount_type,amount,active,include_base_amount,is_base_affected,analytic,tax_exigibility,sequence,l10n_mx_tax_type,l10n_mx_factor_type,cash_basis_transition_account_id/id,tax_group_id/id,country_id/id,company_id/id
tax_1023_ish_3_0_602_lmmr,ISH 3.0% 602,ISH3.0%,Purchases,Percentage,3.0,True,,,True,Based on Invoice,58,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1024_ish_3_5_601_lmmr,ISH 3.5% 601,ISH3.5%,Purchases,Percentage,3.5,True,,,True,Based on Invoice,59,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1025_ish_3_5_602_lmmr,ISH 3.5% 602,ISH3.5%,Purchases,Percentage,3.5,True,,,True,Based on Invoice,60,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1026_ish_4_0_601_lmmr,ISH 4.0% 601,ISH4.0%,Purchases,Percentage,4.0,True,,,True,Based on Invoice,61,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1027_ish_4_0_602_lmmr,ISH 4.0% 602,ISH4.0%,Purchases,Percentage,4.0,True,,,True,Based on Invoice,62,IVA,Tasa,,marin_data.tax_group_1009_ish_lmmr,base.mx,marin_data.company_lmmr
tax_1028_income_tax_10_0_retention_leasing_lmmr,Income tax 10.0% retention leasing,ISR10.0%,Sales,Percentage,-10.0,,,,,Based on Payment,2,ISR,Tasa,marin_data.account_216_03_002_lmmr,marin_data.tax_group_1010_isr_10_0_retention_lmmr,base.mx,marin_data.company_lmmr
tax_1029_vat_0_0_lmmr,VAT 0.0%,VAT0.0%,Purchases,Percentage,0.0,True,,,,Based on Payment,8,IVA,Tasa,marin_data.account_119_01_001_lmmr,marin_data.tax_group_1012_vat_0_0_lmmr,base.mx,marin_data.company_lmmr
tax_1030_vat_0_0_lmmr,VAT 0.0%,VAT0.0%,Sales,Percentage,0.0,True,,,,Based on Payment,11,IVA,Tasa,marin_data.account_209_01_001_lmmr,marin_data.tax_group_1012_vat_0_0_lmmr,base.mx,marin_data.company_lmmr
tax_1031_vat_0_0_non_deductible_lmmr,VAT 0.0% non deductible,VAT0.0% non deduc,Purchases,Percentage,0.0,True,,,,Based on Payment,9,IVA,Tasa,marin_data.account_119_01_002_lmmr,marin_data.tax_group_1012_vat_0_0_lmmr,base.mx,marin_data.company_lmmr
tax_1032_vat_10_6667_retention_lmmr,VAT 10.6667% retention,VAT10.6667%,Sales,Percentage,-10.6667,,,,True,Based on Payment,20,IVA,Tasa,marin_data.account_209_01_001_lmmr,marin_data.tax_group_1015_vat_10_67_retention_lmmr,base.mx,marin_data.company_lmmr
tax_1033_vat_16_0_lmmr,VAT 16.0%,VAT16.0%,Purchases,Percentage,16.0,True,,True,True,Based on Payment,23,IVA,Tasa,marin_data.account_119_01_001_lmmr,marin_data.tax_group_1016_vat_16_0_lmmr,base.mx,marin_data.company_lmmr
tax_1034_vat_16_0_lmmr,VAT 16.0%,VAT16.0%,Sales,Percentage,16.0,True,,,,Based on Payment,26,IVA,Tasa,marin_data.account_209_01_001_lmmr,marin_data.tax_group_1016_vat_16_0_lmmr,base.mx,marin_data.company_lmmr
tax_1035_vat_16_0_non_deductible_lmmr,VAT 16.0% non deductible,VAT16.0% non deduc,Purchases,Percentage,16.0,True,,True,True,Based on Payment,24,IVA,Tasa,marin_data.account_119_01_002_lmmr,marin_data.tax_group_1016_vat_16_0_lmmr,base.mx,marin_data.company_lmmr
tax_1036_vat_4_0_retention_freights_lmmr,VAT 4.0% retention freights,VAT4.0% freight,Purchases,Percentage,-4.0,,,True,True,Based on Payment,14,IVA,Tasa,marin_data.account_216_10_010_lmmr,marin_data.tax_group_1017_vat_4_0_retention_lmmr,base.mx,marin_data.company_lmmr
tax_1037_vat_exempt_lmmr,VAT exempt,VAT exempt,Purchases,Percentage,0.0,True,,,,Based on Payment,5,IVA,Exento,marin_data.account_119_01_001_lmmr,marin_data.tax_group_1019_vat_exempt_lmmr,base.mx,marin_data.company_lmmr
tax_1038_vat_exempt_lmmr,VAT exempt,VAT exempt,Sales,Percentage,0.0,True,,,,Based on Payment,6,IVA,Exento,marin_data.account_209_01_001_lmmr,marin_data.tax_group_1019_vat_exempt_lmmr,base.mx,marin_data.company_lmmr
tax_1039_dsa_5_0_601_lmmg,DSA 5.0% 601,DSA5.0%,Purchases,Percentage,5.0,True,,,True,Based on Invoice,48,IVA,Tasa,,marin_data.tax_group_1039_dsa_lmmg,base.mx,marin_data.company_lmmg
tax_1040_dsa_5_0_602_lmmg,DSA 5.0% 602,DSA5.0%,Purchases,Percentage,5.0,True,,,True,Based on Invoice,49,IVA,Tasa,,marin_data.tax_group_1039_dsa_lmmg,base.mx,marin_data.company_lmmg
tax_1041_ieps_26_5_lmmg,IEPS 26.5%,IEPS26.5%,Purchases,Percentage,26.5,True,True,True,True,Based on Payment,37,IEPS,Tasa,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1041_ieps_26_5_lmmg,base.mx,marin_data.company_lmmg
tax_1042_ieps_3_0_telecom_602_lmmg,IEPS 3.0% telecom 602,IEPS3.0% telecom,Purchases,Percentage,3.0,True,,True,True,Based on Payment,2,IEPS,Tasa,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1042_ieps_3_0_lmmg,base.mx,marin_data.company_lmmg
tax_1043_ieps_53_0_lmmg,IEPS 53.0%,IEPS53.0%,Purchases,Percentage,53.0,True,True,True,True,Based on Payment,42,IEPS,Tasa,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1044_ieps_53_0_lmmg,base.mx,marin_data.company_lmmg
tax_1044_ieps_8_0_lmmg,IEPS 8.0%,IEPS8.0%,Purchases,Percentage,8.0,True,,,True,Based on Payment,29,IEPS,Tasa,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1045_ieps_8_0_lmmg,base.mx,marin_data.company_lmmg
tax_1045_ieps_0_0_lmmg,IEPS 0.0%,IEPS0.0%,Purchases,Percentage,0.0,True,,,,Based on Payment,24,IEPS,Tasa,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1046_ieps_pesticides_lmmg,base.mx,marin_data.company_lmmg
tax_1046_ieps_6_0_lmmg,IEPS 6.0%,IEPS6.0%,Purchases,Percentage,6.0,True,,,True,Based on Payment,25,IEPS,Tasa,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1046_ieps_pesticides_lmmg,base.mx,marin_data.company_lmmg
tax_1047_ieps_6_0_lmmg,IEPS 6.0%,IEPS6.0%,Sales,Percentage,6.0,True,,,,Based on Payment,26,IEPS,Tasa,marin_data.account_209_02_001_lmmg,marin_data.tax_group_1046_ieps_pesticides_lmmg,base.mx,marin_data.company_lmmg
tax_1048_ieps_7_0_lmmg,IEPS 7.0%,IEPS7.0%,Purchases,Percentage,7.0,True,,,True,Based on Payment,27,IEPS,Tasa,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1046_ieps_pesticides_lmmg,base.mx,marin_data.company_lmmg
tax_1049_ieps_7_0_lmmg,IEPS 7.0%,IEPS7.0%,Sales,Percentage,7.0,True,,,,Based on Payment,28,IEPS,Tasa,marin_data.account_209_02_001_lmmg,marin_data.tax_group_1046_ieps_pesticides_lmmg,base.mx,marin_data.company_lmmg
tax_1050_ieps_9_0_lmmg,IEPS 9.0%,IEPS9.0%,Purchases,Percentage,9.0,True,,,True,Based on Payment,32,IEPS,Tasa,marin_data.account_119_03_001_lmmg,marin_data.tax_group_1046_ieps_pesticides_lmmg,base.mx,marin_data.company_lmmg
tax_1051_ieps_9_0_lmmg,IEPS 9.0%,IEPS9.0%,Sales,Percentage,9.0,True,,,,Based on Payment,33,IEPS,Tasa,marin_data.account_209_02_001_lmmg,marin_data.tax_group_1046_ieps_pesticides_lmmg,base.mx,marin_data.company_lmmg
